identifier	name	definition	synonyms	alts	parents	species
11D14	prefigurations of Christ, Christ and his prefigurations					
11D15	the Incarnation ~ Christ					
11D2	Christ as child or youth (in general) ~ Christian religion					
11D21	Christ-child (with attributes)					
11D22	Christ-child ~ types of adult Christ					
11D23	Christ-child ~ Passion, 'Schmerzenskind'					
11D231	Christ-child meditating before the instruments of the Passion					
11D232	Christ-child surrounded by the instruments of the Passion					
11D233	Christ-child carrying the instruments of the Passion					
11D234	Christ-child displaying the five wounds					
11D235	Christ-child winding a crown of thorns, or with thorny twigs					
11D236	Christ-child carrying the cross					
11D237	Christ-child kneeling before the cross					
11D238	Christ-child sleeping on the cross					
11D24	Christ-child as eucharistic symbol					
11D241	Christ-child in or on a chalice					
11D2411	'Melismos' ~ Christ-child as eucharistic symbol					
11D242	Christ-child in the mystic mill					
11D25	Christ-child together with others					
11D26	Christ as youth					
11D261	Christ 'Emmanuel'					
11D3	Christ as adult					
11D31	'portraits' of Christ					
11D311	'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth					
11D3111	Christ gives the Mandylion to the messenger of King Abgar					
11D3112	the Mandylion is brought to Edessa					
11D312	'Vera Icon', 'Sudarium', Veronica-portrait					
11D3121	'Vera Icon', held up by Veronica					
11D3122	'Vera Icon', held up by angels					
11D3123	'Vera Icon', held up by Peter and Paul					
11D3124	'Vera Icon', held up by the four symbols of the evangelists					
11D313	'portrait' of Christ according to the letter of Lentulus					
11D314	'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus)					
11D315	portrait of Christ made by Luke					
11D316	ex-voto of the woman healed from the issue of blood					
11D317	(full-length) image of Christ on shroud, 'Sindone'					
11D318	(other) 'portraits' of Christ, e.g. profile portrait					
11D32	particular types of adult Christ (without others)					
11D321	'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph					
11D322	Christ enthroned					
11D3221	'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book					
11D3222	'Christus Rex'					
11D3223	Christ as (heavenly) judge					
11D323	Christ-'Logos', the Word Incarnate					
11D324	'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet					
11D325	Christ ~ the Eucharist					
11D3251	Christ with chalice, and bread or Host					
11D3252	Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3)					
11D3253	Christ in the symbolic mill					
11D326	'Fons Vitae', 'Fons Pietatis'					
11D3261	Christ standing on or near a fountain, shedding his blood					
11D3262	Christ on the cross (in a fountain), shedding his blood					
11D327	Christ ~ human occupations					
11D3271	Christ as Good Shepherd					
11D3272	Christ as physician					
11D32721	Christ as apothecary					
11D3273	Christ fishing					
11D3274	Christ as pedlar					
11D3275	Christ as farmer or gardener					
11D3276	Christ as host					
11D3277	Christ as (high) priest or prophet					
11D3278	Christ as pilgrim					
11D3279	'Feiertagschristus', Christ with craftsman's tools					
11D328	types of adult Christ (alone)					
11D3281	Christ as woman					
11D3282	Christ in orans attitude					
11D3283	Christ as angel					
11D3284	Christ ~ Orpheus					
11D3285	Christ ~ Apollo (Helios)					
11D33	adult Christ together with others (non-narrative representations)					
11D331	adult Christ with Mary					
11D3311	Christ and Mary as bridegroom and bride					
11D332	adult Christ together with angels					
11D333	adult Christ ~ devil(s) and demonic creatures					
11D3331	Christ triumphing over devil(s)					
11D334	adult Christ together with apostles, evangelists, saints, etc.					
11D3341	Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe'					
11D3342	'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present					
11D33421	Christ giving a scroll (the Law) to Paul; apostle(s) present					
11D3343	Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.)					
11D335	adult Christ together with mortals					
11D3351	(adult) Christ appearing to mortals					
11D3352	Christ distributing symbols of authority or power to ecclesiastical and/or secular rulers					
11D336	triumphant Christ, e.g. on triumphal chariot					
11D337	Christ on horseback					
11D3371	Christ on horseback leading an army of knights, 'Militia Christi'					
11D34	adult Christ ~ abstract conceptions					
11D35	specific types of crucified Christ (in non-narrative context)					
11D351	Christ suffering (with crown of thorns, head usually turned sidewards)					
11D352	Christ covered with pest-sores, 'Pestkruzifixus'					
11D353	Christ triumphing (with crown, head usually upright)					
11D354	Christ bowing down from the cross to embrace someone					
11D355	Christ crucified on a tree or on a vine					
11D356	Christ crucified on a 'living' cross					
11D357	the Virtues ~ crucified Christ					
11D36	other types of crucified Christ in non-narrative context					
11D4	legends and devotions ~ Christ					
11D41	legends ~ Christ					
11D411	legend of the True Cross					
11D4111	Seth puts a branch from the Tree of Knowledge on Adam's grave ~ legend of the True Cross					
11D41111	Seth searching for paradise; the angel gives him a twig or a flask of oil ~ legend of the True Cross					
11D4112	the wood is used for the building of the temple of Solomon ~ the legend of the True Cross					
11D4113	the wood, serving as a bridge, is worshipped by the queen of Sheba ~ the legend of the True Cross					
11D4114	the wood is taken from the pool of Bethesda to serve as Christ's cross ~ legend of the True Cross					
11D4115	Helena's vision of the Holy Cross borne by angels ~ legend of the True Cross					
11D4116	the finding of the True Cross					
11D41161	Judas, a Jew, put into a well by Helena, mother of Constantine ~ legend of the True Cross					
11D41162	the three crosses are dug up near the temple of Venus ~ legend of the True Cross					
11D41163	Helena identifies the True Cross: a human corpse is restored to life when it touches the cross					
11D41164	Helena and Constantine kneeling before (or standing beside) the True Cross					
11D4117	the raising of the True Cross, Exaltation of the Holy Cross					
11D41171	Emperor Heraclius defeats Chosroes II of Persia, and recovers a part of the True Cross					
11D41172	Heraclius' entry into Jerusalem: as asked by an angel, the emperor, stripped of his royal robes, carries the True Cross into the city					
11D411721	emperor Heraclius' entry into Jerusalem, riding on an ass or on horseback ~ legend of the True Cross					
11D41173	the True Cross is erected on Golgotha (or on an altar) ~ legend of the True Cross					
11D41174	Chosroes II, having refused baptism, is executed ~ legend of the True Cross					
11D412	legend of the bleeding Holy Lance					
11D413	legend of the Holy Grail					
11D414	the prophecy of Basilides: on his way to Jerusalem, emperor Titus consults Basilides the Carmelite, who shows him a vision of God the Father with the dead Christ					
11D42	devotion ~ Christ					
11D421	the Seven Bleedings of Christ					
11D4211	single scenes of the Seven Bleedings of Christ					
11D422	the Sacred Heart					
11D423	the Sacred Blood					
11D424	the Sacred Tear					
11D425	Christ's length					
11D43	relics ~ Christ					
11D431	splinters of the cross ~ relics of Christ					
11D432	nails of the cross ~ relics of Christ					
11D433	the Holy Lance ~ relics of Christ					
11D434	Christ's robe ~ relics of Christ					
11D435	'Scala Santa', the stairs of Pilate's palace ~ relics of Christ					
11D5	mystic ideas ~ Christ					
11D51	Christ and the Soul					
11D511	the Soul as bride of Christ					
11D52	Christ and the human heart					
11D53	Christ's blood saving mankind					
11D6	miraculous statues of Christ or the Christ-child					
