subject_id	object_id	predicate_id	mapping_justification
zfin:ZDB-GENE-000329-13	ncbigene:58111	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-14	ncbigene:58115	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-15	ncbigene:58104	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-16	ncbigene:58116	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-17	ncbigene:58062	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-2	ncbigene:58044	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-3	ncbigene:57935	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-4	ncbigene:58065	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-5	ncbigene:58066	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000329-9	ncbigene:58037	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-2	ncbigene:58089	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-3	ncbigene:58090	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-4	ncbigene:58038	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-5	ncbigene:57925	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-7	ncbigene:57918	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-8	ncbigene:58024	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000330-9	ncbigene:58026	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000403-1	ncbigene:57931	oboinowl:hasDbXref	sempav:UnspecifiedMatching
zfin:ZDB-GENE-000403-2	ncbigene:58080	oboinowl:hasDbXref	sempav:UnspecifiedMatching
