identifier	name	definition	synonyms	alts	parents	species
BSD-Source-Code	BSD Source Code Attribution				spdx.term:ListedLicense	
BSD-Source-beginning-file	BSD Source Code Attribution - beginning of file variant				spdx.term:ListedLicense	
BSD-Systemics	Systemics BSD variant license				spdx.term:ListedLicense	
BSD-Systemics-W3Works	Systemics W3Works BSD variant license				spdx.term:ListedLicense	
BSL-1.0	Boost Software License 1.0				spdx.term:ListedLicense	
BUSL-1.1	Business Source License 1.1				spdx.term:ListedLicense	
Baekmuk	Baekmuk License				spdx.term:ListedLicense	
Bahyph	Bahyph License				spdx.term:ListedLicense	
Barr	Barr License				spdx.term:ListedLicense	
Beerware	Beerware License				spdx.term:ListedLicense	
BitTorrent-1.0	BitTorrent Open Source License v1.0				spdx.term:ListedLicense	
BitTorrent-1.1	BitTorrent Open Source License v1.1				spdx.term:ListedLicense	
Bitstream-Charter	Bitstream Charter Font License				spdx.term:ListedLicense	
Bitstream-Vera	Bitstream Vera Font License				spdx.term:ListedLicense	
BlueOak-1.0.0	Blue Oak Model License 1.0.0				spdx.term:ListedLicense	
Boehm-GC	Boehm-Demers-Weiser GC License				spdx.term:ListedLicense	
Boehm-GC-without-fee	Boehm-Demers-Weiser GC License (without fee)				spdx.term:ListedLicense	
Borceux	Borceux license				spdx.term:ListedLicense	
Brian-Gladman-2-Clause	Brian Gladman 2-Clause License				spdx.term:ListedLicense	
Brian-Gladman-3-Clause	Brian Gladman 3-Clause License				spdx.term:ListedLicense	
C-UDA-1.0	Computational Use of Data Agreement v1.0				spdx.term:ListedLicense	
CAL-1.0	Cryptographic Autonomy License 1.0				spdx.term:ListedLicense	
CAL-1.0-Combined-Work-Exception	Cryptographic Autonomy License 1.0 (Combined Work Exception)				spdx.term:ListedLicense	
CATOSL-1.1	Computer Associates Trusted Open Source License 1.1				spdx.term:ListedLicense	
CC-BY-1.0	Creative Commons Attribution 1.0 Generic				spdx.term:ListedLicense	
CC-BY-2.0	Creative Commons Attribution 2.0 Generic				spdx.term:ListedLicense	
