text	curie	name	predicate	source
ASWF Digital Assets License 1.1	spdx:ASWF-Digital-Assets-1.1	ASWF Digital Assets License 1.1	rdfs:label	spdx
Abstyles	spdx:Abstyles	Abstyles License	oboInOwl:hasRelatedSynonym	spdx
Abstyles License	spdx:Abstyles	Abstyles License	rdfs:label	spdx
AdaCore-doc	spdx:AdaCore-doc	AdaCore Doc License	oboInOwl:hasRelatedSynonym	spdx
AdaCore Doc License	spdx:AdaCore-doc	AdaCore Doc License	rdfs:label	spdx
Adobe-2006	spdx:Adobe-2006	Adobe Systems Incorporated Source Code License Agreement	oboInOwl:hasRelatedSynonym	spdx
Adobe Systems Incorporated Source Code License Agreement	spdx:Adobe-2006	Adobe Systems Incorporated Source Code License Agreement	rdfs:label	spdx
Adobe-Display-PostScript	spdx:Adobe-Display-PostScript	Adobe Display PostScript License	oboInOwl:hasRelatedSynonym	spdx
Adobe Display PostScript License	spdx:Adobe-Display-PostScript	Adobe Display PostScript License	rdfs:label	spdx
Adobe-Glyph	spdx:Adobe-Glyph	Adobe Glyph List License	oboInOwl:hasRelatedSynonym	spdx
Adobe Glyph List License	spdx:Adobe-Glyph	Adobe Glyph List License	rdfs:label	spdx
Adobe-Utopia	spdx:Adobe-Utopia	Adobe Utopia Font License	oboInOwl:hasRelatedSynonym	spdx
Adobe Utopia Font License	spdx:Adobe-Utopia	Adobe Utopia Font License	rdfs:label	spdx
Advanced-Cryptics-Dictionary	spdx:Advanced-Cryptics-Dictionary	Advanced Cryptics Dictionary License	oboInOwl:hasRelatedSynonym	spdx
Advanced Cryptics Dictionary License	spdx:Advanced-Cryptics-Dictionary	Advanced Cryptics Dictionary License	rdfs:label	spdx
Afmparse	spdx:Afmparse	Afmparse License	oboInOwl:hasRelatedSynonym	spdx
Afmparse License	spdx:Afmparse	Afmparse License	rdfs:label	spdx
Aladdin	spdx:Aladdin	Aladdin Free Public License	oboInOwl:hasRelatedSynonym	spdx
Aladdin Free Public License	spdx:Aladdin	Aladdin Free Public License	rdfs:label	spdx
Apache-1.0	spdx:Apache-1.0	Apache License 1.0	oboInOwl:hasRelatedSynonym	spdx
Apache License 1.0	spdx:Apache-1.0	Apache License 1.0	rdfs:label	spdx
Apache-1.1	spdx:Apache-1.1	Apache License 1.1	oboInOwl:hasRelatedSynonym	spdx
Apache License 1.1	spdx:Apache-1.1	Apache License 1.1	rdfs:label	spdx
Apache-2.0	spdx:Apache-2.0	Apache License 2.0	oboInOwl:hasRelatedSynonym	spdx
Apache License 2.0	spdx:Apache-2.0	Apache License 2.0	rdfs:label	spdx
App-s2p	spdx:App-s2p	App::s2p License	oboInOwl:hasRelatedSynonym	spdx
App::s2p License	spdx:App-s2p	App::s2p License	rdfs:label	spdx
Arphic-1999	spdx:Arphic-1999	Arphic Public License	oboInOwl:hasRelatedSynonym	spdx
Arphic Public License	spdx:Arphic-1999	Arphic Public License	rdfs:label	spdx
Artistic-1.0	spdx:Artistic-1.0	Artistic License 1.0	oboInOwl:hasRelatedSynonym	spdx
Artistic License 1.0	spdx:Artistic-1.0	Artistic License 1.0	rdfs:label	spdx
Artistic-1.0-Perl	spdx:Artistic-1.0-Perl	Artistic License 1.0 (Perl)	oboInOwl:hasRelatedSynonym	spdx
Artistic License 1.0 (Perl)	spdx:Artistic-1.0-Perl	Artistic License 1.0 (Perl)	rdfs:label	spdx
Artistic-1.0-cl8	spdx:Artistic-1.0-cl8	Artistic License 1.0 w/clause 8	oboInOwl:hasRelatedSynonym	spdx
Artistic License 1.0 w/clause 8	spdx:Artistic-1.0-cl8	Artistic License 1.0 w/clause 8	rdfs:label	spdx
Artistic-2.0	spdx:Artistic-2.0	Artistic License 2.0	oboInOwl:hasRelatedSynonym	spdx
Artistic License 2.0	spdx:Artistic-2.0	Artistic License 2.0	rdfs:label	spdx
Artistic-dist	spdx:Artistic-dist	Artistic License 1.0 (dist)	oboInOwl:hasRelatedSynonym	spdx
Artistic License 1.0 (dist)	spdx:Artistic-dist	Artistic License 1.0 (dist)	rdfs:label	spdx
Aspell-RU	spdx:Aspell-RU	Aspell Russian License	oboInOwl:hasRelatedSynonym	spdx
Aspell Russian License	spdx:Aspell-RU	Aspell Russian License	rdfs:label	spdx
BSD-1-Clause	spdx:BSD-1-Clause	BSD 1-Clause License	oboInOwl:hasRelatedSynonym	spdx
BSD 1-Clause License	spdx:BSD-1-Clause	BSD 1-Clause License	rdfs:label	spdx
BSD-2-Clause	spdx:BSD-2-Clause	"BSD 2-Clause ""Simplified"" License"	oboInOwl:hasRelatedSynonym	spdx
"BSD 2-Clause ""Simplified"" License"	spdx:BSD-2-Clause	"BSD 2-Clause ""Simplified"" License"	rdfs:label	spdx
BSD-2-Clause-Darwin	spdx:BSD-2-Clause-Darwin	BSD 2-Clause - Ian Darwin variant	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause - Ian Darwin variant	spdx:BSD-2-Clause-Darwin	BSD 2-Clause - Ian Darwin variant	rdfs:label	spdx
BSD-2-Clause-FreeBSD	spdx:BSD-2-Clause-FreeBSD	BSD 2-Clause FreeBSD License	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause FreeBSD License	spdx:BSD-2-Clause-FreeBSD	BSD 2-Clause FreeBSD License	rdfs:label	spdx
BSD-2-Clause-NetBSD	spdx:BSD-2-Clause-NetBSD	BSD 2-Clause NetBSD License	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause NetBSD License	spdx:BSD-2-Clause-NetBSD	BSD 2-Clause NetBSD License	rdfs:label	spdx
BSD-2-Clause-Patent	spdx:BSD-2-Clause-Patent	BSD-2-Clause Plus Patent License	oboInOwl:hasRelatedSynonym	spdx
BSD-2-Clause Plus Patent License	spdx:BSD-2-Clause-Patent	BSD-2-Clause Plus Patent License	rdfs:label	spdx
BSD-2-Clause-Views	spdx:BSD-2-Clause-Views	BSD 2-Clause with views sentence	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause with views sentence	spdx:BSD-2-Clause-Views	BSD 2-Clause with views sentence	rdfs:label	spdx
BSD-2-Clause-first-lines	spdx:BSD-2-Clause-first-lines	BSD 2-Clause - first lines requirement	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause - first lines requirement	spdx:BSD-2-Clause-first-lines	BSD 2-Clause - first lines requirement	rdfs:label	spdx
BSD-2-Clause-pkgconf-disclaimer	spdx:BSD-2-Clause-pkgconf-disclaimer	BSD 2-Clause pkgconf disclaimer variant	oboInOwl:hasRelatedSynonym	spdx
BSD 2-Clause pkgconf disclaimer variant	spdx:BSD-2-Clause-pkgconf-disclaimer	BSD 2-Clause pkgconf disclaimer variant	rdfs:label	spdx
BSD-3-Clause	spdx:BSD-3-Clause	"BSD 3-Clause ""New"" or ""Revised"" License"	oboInOwl:hasRelatedSynonym	spdx
