identifier	name	definition	synonyms	alts	parents	species
MIMAT0000106	dme-miR-2a-3p		dme-miR-2a			
MIMAT0000107	dme-miR-2b-3p		dme-miR-2b			
MIMAT0000108	dme-miR-3-3p		dme-miR-3			
MIMAT0000109	dme-miR-4-3p		dme-miR-4			
MIMAT0000110	dme-miR-5-5p		dme-miR-5			
MIMAT0000111	dme-miR-6-3p		dme-miR-6			
MIMAT0000112	dme-miR-7-5p		dme-miR-7			
MIMAT0000113	dme-miR-8-3p		dme-miR-8			
MIMAT0000114	dme-miR-9a-5p		dme-miR-9a			
MIMAT0000115	dme-miR-10-5p		dme-miR-10;dme-miR-10*			
MIMAT0000116	dme-miR-11-3p		dme-miR-11			
MIMAT0000117	dme-miR-12-5p		dme-miR-12			
MIMAT0000118	dme-miR-13a-3p		dme-miR-13a			
MIMAT0000119	dme-miR-13b-3p		dme-miR-13b			
MIMAT0000120	dme-miR-14-3p		dme-miR-14			
MIMAT0000121	mmu-let-7g-5p		mmu-let-7g			
MIMAT0000122	mmu-let-7i-5p		mmu-let-7i			
MIMAT0000123	mmu-miR-1a-3p		mmu-miR-1;mmu-miR-1a			
MIMAT0000124	mmu-miR-15b-5p		mmu-miR-15b			
MIMAT0000125	mmu-miR-23b-3p		mmu-miR-23b			
MIMAT0000126	mmu-miR-27b-3p		mmu-miR-27b			
MIMAT0000127	mmu-miR-29b-3p		mmu-miR-29b			
MIMAT0000128	mmu-miR-30a-5p		mmu-miR-30a-5p;mmu-miR-30a			
MIMAT0000129	mmu-miR-30a-3p		mmu-miR-30a-3p;mmu-miR-30a*			
MIMAT0000130	mmu-miR-30b-5p		mmu-miR-30b			
MIMAT0000131	mmu-miR-99a-5p		mmu-miR-99a			
MIMAT0000132	mmu-miR-99b-5p		mmu-miR-99b			
MIMAT0000133	mmu-miR-101a-3p		mmu-miR-101a			
MIMAT0000134	mmu-miR-124-3p		mmu-miR-124a;mmu-miR-124			
MIMAT0000135	mmu-miR-125a-5p		mmu-miR-125a			
MIMAT0000136	mmu-miR-125b-5p		mmu-miR-125b			
MIMAT0000137	mmu-miR-126a-5p					
MIMAT0000138	mmu-miR-126a-3p					
MIMAT0000139	mmu-miR-127-3p		mmu-miR-127			
MIMAT0000140	mmu-miR-128-3p		mmu-miR-128a;mmu-miR-128			
MIMAT0000141	mmu-miR-130a-3p		mmu-miR-130a			
MIMAT0000142	mmu-miR-9-5p		mmu-miR-9			
MIMAT0000143	mmu-miR-9-3p		mmu-miR-9*			
MIMAT0000144	mmu-miR-132-3p		mmu-miR-132			
MIMAT0000145	mmu-miR-133a-3p		mmu-miR-133a			
MIMAT0000146	mmu-miR-134-5p		mmu-miR-134			
MIMAT0000147	mmu-miR-135a-5p		mmu-miR-135a			
MIMAT0000148	mmu-miR-136-5p		mmu-miR-136			
MIMAT0000149	mmu-miR-137-3p		mmu-miR-137			
MIMAT0000150	mmu-miR-138-5p		mmu-miR-138			
MIMAT0000151	mmu-miR-140-5p		mmu-miR-140			
MIMAT0000152	mmu-miR-140-3p		mmu-miR-140*			
MIMAT0000153	mmu-miR-141-3p		mmu-miR-141			
MIMAT0000154	mmu-miR-142a-5p		mmu-miR-142-5p			
MIMAT0000155	mmu-miR-142a-3p		mmu-miR-142-3p			
MIMAT0000156	mmu-miR-144-3p		mmu-miR-144			
MIMAT0000157	mmu-miR-145a-5p		mmu-miR-145;mmu-miR-145-5p			
MIMAT0000158	mmu-miR-146a-5p		mmu-miR-146;mmu-miR-146a			
MIMAT0000159	mmu-miR-149-5p		mmu-miR-149			
MIMAT0000160	mmu-miR-150-5p		mmu-miR-150			
MIMAT0000161	mmu-miR-151-3p		mmu-miR-151			
MIMAT0000162	mmu-miR-152-3p		mmu-miR-152			
MIMAT0000163	mmu-miR-153-3p		mmu-miR-153			
MIMAT0000164	mmu-miR-154-5p		mmu-miR-154			
MIMAT0000165	mmu-miR-155-5p		mmu-miR-155			
MIMAT0000166	ath-miR156a-5p		ath-miR156a			
MIMAT0000167	ath-miR156b-5p		ath-miR156b			
MIMAT0000168	ath-miR156c-5p		ath-miR156c			
