identifier	name	definition	synonyms	alts	parents	species
R-BTA-1236394	Signaling by ERBB4				reactome:R-BTA-9006934	
R-BTA-1236973	Cross-presentation of particulate exogenous antigens (phagosomes)				reactome:R-BTA-1236975	
R-BTA-1236974	ER-Phagosome pathway				reactome:R-BTA-1236975	
R-BTA-1236975	Antigen processing-Cross presentation				reactome:R-BTA-983169	
R-BTA-1236977	Endosomal/Vacuolar pathway				reactome:R-BTA-1236975	
R-BTA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)				reactome:R-BTA-1236975	
R-BTA-1237044	Erythrocytes take up carbon dioxide and release oxygen				reactome:R-BTA-1480926	
R-BTA-1237112	Methionine salvage pathway				reactome:R-BTA-1614635	
R-BTA-1247673	Erythrocytes take up oxygen and release carbon dioxide				reactome:R-BTA-1480926	
R-BTA-1250196	SHC1 events in ERBB2 signaling				reactome:R-BTA-1227986	
R-BTA-1250342	PI3K events in ERBB4 signaling				reactome:R-BTA-1236394	
R-BTA-1250347	SHC1 events in ERBB4 signaling				reactome:R-BTA-1236394	
R-BTA-1251985	Nuclear signaling by ERBB4				reactome:R-BTA-1236394	
R-BTA-1253288	Downregulation of ERBB4 signaling				reactome:R-BTA-1236394	
R-BTA-1257604	PIP3 activates AKT signaling				reactome:R-BTA-9006925	
R-BTA-1266695	Interleukin-7 signaling				reactome:R-BTA-449147	
R-BTA-1266738	Developmental Biology					
R-BTA-1268020	Mitochondrial protein import				reactome:R-BTA-9609507	
R-BTA-1280215	Cytokine Signaling in Immune system				reactome:R-BTA-168256	
R-BTA-1280218	Adaptive Immune System				reactome:R-BTA-168256	
R-BTA-1295596	Spry regulation of FGF signaling				reactome:R-BTA-5654726|reactome:R-BTA-5654727|reactome:R-BTA-5654732|reactome:R-BTA-5654733	
R-BTA-1296025	ATP sensitive Potassium channels				reactome:R-BTA-1296065	
R-BTA-1296041	Activation of G protein gated Potassium channels				reactome:R-BTA-1296059	
R-BTA-1296052	Ca2+ activated K+ channels				reactome:R-BTA-1296071	
R-BTA-1296053	Classical Kir channels				reactome:R-BTA-1296065	
R-BTA-1296059	G protein gated Potassium channels				reactome:R-BTA-1296065	
R-BTA-1296061	HCN channels				reactome:R-BTA-1296071	
R-BTA-1296065	Inwardly rectifying K+ channels				reactome:R-BTA-1296071	
R-BTA-1296067	Potassium transport channels				reactome:R-BTA-1296065	
R-BTA-1296071	Potassium Channels				reactome:R-BTA-112316	
R-BTA-1296072	Voltage gated Potassium channels				reactome:R-BTA-1296071	
R-BTA-1296346	Tandem pore domain potassium channels				reactome:R-BTA-1296071	
R-BTA-1299287	Tandem pore domain halothane-inhibited K+ channel (THIK)				reactome:R-BTA-1296346	
R-BTA-1299308	Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)				reactome:R-BTA-1296346	
R-BTA-1299316	TWIK-releated acid-sensitive K+ channel (TASK)				reactome:R-BTA-1296346	
R-BTA-1299344	TWIK-related spinal cord K+ channel (TRESK)				reactome:R-BTA-1296346	
R-BTA-1299361	TWIK-related alkaline pH activated K+ channel (TALK)				reactome:R-BTA-1296346	
R-BTA-1299503	TWIK related potassium channel (TREK)				reactome:R-BTA-1296346	
R-BTA-1300642	Sperm Motility And Taxes				reactome:R-BTA-1187000	
R-BTA-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding				reactome:R-BTA-1187000	
R-BTA-1306955	GRB7 events in ERBB2 signaling				reactome:R-BTA-1227986	
R-BTA-1307965	betaKlotho-mediated ligand binding				reactome:R-BTA-190322	
R-BTA-1358803	Downregulation of ERBB2:ERBB3 signaling				reactome:R-BTA-8863795	
R-BTA-1362409	Mitochondrial iron-sulfur cluster biogenesis				reactome:R-BTA-1430728	
R-BTA-1369007	Mitochondrial ABC transporters				reactome:R-BTA-382556	
R-BTA-1369062	ABC transporters in lipid homeostasis				reactome:R-BTA-382556	
R-BTA-139853	Elevation of cytosolic Ca2+ levels				reactome:R-BTA-418360	
R-BTA-139910	Activation of BMF and translocation to mitochondria				reactome:R-BTA-114452	
R-BTA-140179	Amine Oxidase reactions				reactome:R-BTA-211945	
R-BTA-140180	COX reactions				reactome:R-BTA-211945	
R-BTA-140342	Apoptosis induced DNA fragmentation				reactome:R-BTA-75153	
R-BTA-140534	Caspase activation via Death Receptors in the presence of ligand				reactome:R-BTA-5357769	
R-BTA-140834	Extrinsic Pathway of Fibrin Clot Formation				reactome:R-BTA-140877	
R-BTA-140837	Intrinsic Pathway of Fibrin Clot Formation				reactome:R-BTA-140877	
R-BTA-140875	Common Pathway of Fibrin Clot Formation				reactome:R-BTA-140877	
R-BTA-140877	Formation of Fibrin Clot (Clotting Cascade)				reactome:R-BTA-109582	
R-BTA-141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB				reactome:R-BTA-140179	
R-BTA-141334	PAOs oxidise polyamines to amines				reactome:R-BTA-140179	
R-BTA-141405	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components				reactome:R-BTA-176408|reactome:R-BTA-69618	
R-BTA-141424	Amplification of signal from the kinetochores				reactome:R-BTA-69618	
