identifier	name	definition	synonyms	alts	parents	species
3903	FRA4D	fragile site, aphidicolin type, common, fra(4)(p15)			so:0002349	ncbitaxon:9606
39030	YWHAZP9	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 9			so:0000336	ncbitaxon:9606
39031	ERVK-20	endogenous retrovirus group K member 20	c11_B|endogenous retrovirus group K, member 20		so:0000100	ncbitaxon:9606
39032	PCBP2P3	PCBP2 pseudogene 3	poly(rC) binding protein 2 pseudogene 3		so:0000336	ncbitaxon:9606
39033	UQCRBP3	ubiquinol-cytochrome c reductase binding protein pseudogene 3			so:0000336	ncbitaxon:9606
39035	ERVK-21	endogenous retrovirus group K member 21, envelope	HERV-K_12q14.1 provirus Rec protein|HERV-K_12q14.1 provirus ancestral Env polyprotein|HERV-K_12q14.1 provirus ancestral Gag polyprotein|HERV-K_12q14.1 provirus ancestral Pro protein|c12_A|endogenous retrovirus group K member 21|endogenous retrovirus group K, member 21|envK1		so:0000100	ncbitaxon:9606
39036	ERVK-22	endogenous retrovirus group K member 22	c19_A|endogenous retrovirus group K, member 22		so:0000100	ncbitaxon:9606
39037	ERVK-23	endogenous retrovirus group K member 23	c21_A|endogenous retrovirus group K, member 23		so:0000100	ncbitaxon:9606
39038	ERVK-24	endogenous retrovirus group K member 24	HERV-K101|HERV-K_22q11.21 provirus Np9 protein|HERV-K_22q11.21 provirus ancestral Env polyprotein|HERV-K_22q11.21 provirus ancestral Gag polyprotein|HERV-K_22q11.21 provirus ancestral Pro protein|c22_A|endogenous retrovirus group K, member 24		so:0000100	ncbitaxon:9606
39039	ERVK-25	endogenous retrovirus group K member 25	HERV-K_11q22.1 provirus Rec protein|HERV-K_11q22.1 provirus ancestral Env polyprotein|HERV-K_11q22.1 provirus ancestral Pol protein|HERV-K_11q22.1 provirus ancestral Pro protein|c11_A|endogenous retrovirus group K, member 25		so:0000100	ncbitaxon:9606
39040	ERVK3-2	endogenous retrovirus group K3 member 2	HML6-c14|endogenous retrovirus group K3, member 2		so:0000100	ncbitaxon:9606
39041	ERVW-3	endogenous retrovirus group W member 3	CL4|endogenous retrovirus group W, member 3		so:0000100	ncbitaxon:9606
39042	ERVPABLB-1	endogenous retrovirus group PABLB member 1, envelope	HERV-R(b)_3p24.3 provirus ancestral Env polyprotein|endogenous retrovirus group PABLB member 1|endogenous retrovirus group PABLB, member 1|envR(b)		so:0000100	ncbitaxon:9606
39043	ERVW-4	endogenous retrovirus group W member 4	C187-23|endogenous retrovirus group W, member 4		so:0000100	ncbitaxon:9606
39044	ERVW-5	endogenous retrovirus group W member 5	CL2|endogenous retrovirus group W, member 5		so:0000100	ncbitaxon:9606
39045	ERVW-6	endogenous retrovirus group W member 6	endogenous retrovirus group W, member 6		so:0000100	ncbitaxon:9606
39046	ZFYVE9P2	zinc finger FYVE-type containing 9 pseudogene 2	zinc finger, FYVE domain containing 9 pseudogene 2		so:0000336	ncbitaxon:9606
39047	ERVFH21-1	endogenous retrovirus group FH21 member 1	HERV-F(XA34)|endogenous retrovirus group FH21, member 1		so:0000100	ncbitaxon:9606
39048	ERVE-2	endogenous retrovirus group E member 2	endogenous retrovirus group E, member 2		so:0000100	ncbitaxon:9606
39049	ERVE-3	endogenous retrovirus group E member 3	endogenous retrovirus group E, member 3		so:0000100	ncbitaxon:9606
3905	FRA5A	fragile site, BrdU type, common, fra(5)(p13)			so:0002349	ncbitaxon:9606
39050	ERVE-4	endogenous retrovirus group E member 4	CT-RCC HERV-E|endogenous retrovirus group E, member 4		so:0000100	ncbitaxon:9606
39051	ERVV-2	endogenous retrovirus group V member 2, envelope	ENVV2|endogenous retrovirus group V member 2|endogenous retrovirus group V, member 2|mac-syncytin-3		so:0001217	ncbitaxon:9606
39052	ERVI-1	endogenous retrovirus group I member 1	endogenous retrovirus group I, member 1		so:0000100	ncbitaxon:9606
39053	ERVH-1	endogenous retrovirus group H member 1	HERV-H4p15.2|endogenous retrovirus group H, member 1		so:0000100	ncbitaxon:9606
39054	ERVH-2	endogenous retrovirus group H member 2	HERV-HX|endogenous retrovirus group H, member 2		so:0000100	ncbitaxon:9606
39055	ERVH-3	endogenous retrovirus group H member 3	HERV-H/F|RP11-301G19.1|TCONS_l2_00025412|endogenous retrovirus group H, member 3		so:0000100	ncbitaxon:9606
