subject_id	subject_label	predicate_id	predicate_label	object_id	mapping_justification	license	subject_source	mapping_source
goldbook:D01704	differential diffusion coefficient	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01704	differential diffusion coefficient	rdfs:seeAlso	see also	goldbook:D01719	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01708	differential scanning calorimetry	rdfs:seeAlso	see also	goldbook:R05230	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01710	differential viscosity	rdfs:seeAlso	see also	goldbook:S05636	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01711	diffraction	rdfs:seeAlso	see also	goldbook:N04116	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01712	diffraction analysis	rdfs:seeAlso	see also	goldbook:D01711	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01713	diffused junction semiconductor detector	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01713	diffused junction semiconductor detector	rdfs:seeAlso	see also	goldbook:S05592	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01714	diffuse layer	rdfs:seeAlso	see also	goldbook:C01141	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01714	diffuse layer	rdfs:seeAlso	see also	goldbook:I03084	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01714	diffuse layer	rdfs:seeAlso	see also	goldbook:S06003	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01715	diffuser	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01716	diffusion	rdfs:seeAlso	see also	goldbook:C01227	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01716	diffusion	rdfs:seeAlso	see also	goldbook:E01888	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01716	diffusion	rdfs:seeAlso	see also	goldbook:G02669	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01716	diffusion	rdfs:seeAlso	see also	goldbook:S05487	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01717	diffusional transition	rdfs:seeAlso	see also	goldbook:D01671	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01717	diffusional transition	rdfs:seeAlso	see also	goldbook:G02684	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01717	diffusional transition	rdfs:seeAlso	see also	goldbook:R05194	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01717	diffusional transition	rdfs:seeAlso	see also	goldbook:U06562	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01718	diffusion battery	rdfs:seeAlso	see also	goldbook:A00176	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01722	diffusion current	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01722	diffusion current	rdfs:seeAlso	see also	goldbook:F02321	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01722	diffusion current	rdfs:seeAlso	see also	goldbook:I03082	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01722	diffusion current	rdfs:seeAlso	see also	goldbook:M03804	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01722	diffusion current	rdfs:seeAlso	see also	goldbook:T06446	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01723	diffusion current constant	rdfs:seeAlso	see also	goldbook:L03534	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01723	diffusion current constant	rdfs:seeAlso	see also	goldbook:O04362	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01723	diffusion current constant	rdfs:seeAlso	see also	goldbook:R05222	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01725	diffusion layer	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01725	diffusion layer	rdfs:seeAlso	see also	goldbook:N04108	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01726	diffusion layer thickness	rdfs:seeAlso	see also	goldbook:C00995	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01726	diffusion layer thickness	rdfs:seeAlso	see also	goldbook:D01719	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01726	diffusion layer thickness	rdfs:seeAlso	see also	goldbook:F02325	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01726	diffusion layer thickness	rdfs:seeAlso	see also	goldbook:H02805	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01726	diffusion layer thickness	rdfs:seeAlso	see also	goldbook:L03532	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01728	diffusionless transition	rdfs:seeAlso	see also	goldbook:D01716	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:C00993	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:D01719	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:D01739	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:F02325	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:G02579	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01729	diffusion potential	rdfs:seeAlso	see also	goldbook:T06321	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01730	dihedral angle	rdfs:seeAlso	see also	goldbook:A00346	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01730	dihedral angle	rdfs:seeAlso	see also	goldbook:T06406	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01732	dilatancy	rdfs:seeAlso	see also	goldbook:S05639	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01733	dilational transition	rdfs:seeAlso	see also	goldbook:S05447	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01735	diluent	rdfs:seeAlso	see also	goldbook:C00859	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01735	diluent	rdfs:seeAlso	see also	goldbook:E02299	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01735	diluent	rdfs:seeAlso	see also	goldbook:I03026	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01735	diluent	rdfs:seeAlso	see also	goldbook:L03587	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01740	dilution rate	rdfs:seeAlso	see also	goldbook:F02337	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01740	dilution rate	rdfs:seeAlso	see also	goldbook:V06642	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01742	dimensionless quantities	rdfs:seeAlso	see also	goldbook:A00028	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01742	dimensionless quantities	rdfs:seeAlso	see also	goldbook:P04792	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01744	dimerization	rdfs:seeAlso	see also	goldbook:A00472	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01744	dimerization	rdfs:seeAlso	see also	goldbook:M03986	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01744	dimerization	rdfs:seeAlso	see also	goldbook:T06446	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:AT07329	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:DT07360	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:M03968	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:M03986	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:O04359	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:P04585	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01745	di-π-methane rearrangement	rdfs:seeAlso	see also	goldbook:R05194	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01746	Dimroth–Reichardt <em>E</em><sub>T</sub> parameter	rdfs:seeAlso	see also	goldbook:G02710	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01746	Dimroth–Reichardt <em>E</em><sub>T</sub> parameter	rdfs:seeAlso	see also	goldbook:I03215	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01746	Dimroth–Reichardt <em>E</em><sub>T</sub> parameter	rdfs:seeAlso	see also	goldbook:P04710	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
goldbook:D01746	Dimroth–Reichardt <em>E</em><sub>T</sub> parameter	rdfs:seeAlso	see also	goldbook:W06659	semapv:UnspecifiedMatching	https://bioregistry.io/spdx:CC-BY-SA-4.0	bioregistry:goldbook	bioregistry:goldbook
