identifier	name	definition	synonyms	alts	parents	species
08070	coordinator of an interlaboratory comparison	Person(s) with responsibility for organizing and managing all of the activities involved in the operation of an interlaboratory comparison.	coordinator			
08071	cumulative sum control chart	Control chart where the cumulative sum of deviations of successive measured quantity values from a reference quantity value is plotted to detect shifts in the level of the measurand.	CUSUM chart			
08072	decision rule in conformity assessment	Documented rule that describes how measurement uncertainty will be accounted for with regard to accepting or rejecting an item, given a specified requirement and a measured quantity value.	decision rule			
08073	fitness for purpose	Ability of a product, process, or service to serve a defined purpose under specific conditions.	fitness for intended use			
08074	good laboratory practice	Quality system concerned with the organizational process, and conditions under which non-clinical health and environmental safety studies are planned, performed, monitored, recorded, archived, and reported.	GLP			
08075	good manufacturing practice	Combination of manufacturing and quality procedures aimed at ensuring that products are consistently manufactured to their specified requirements and to avoid contamination of the product by internal or external sources.	GMP			
08076	guard band	Interval between a tolerance limit and a corresponding acceptance limit. Figure 1: Guarded acceptance. Two-sided acceptance interval created by reducing the tolerance interval on either side by a guard band, thus reducing the probability of falsely accepting a non-conforming item.Figure 2: Guarded rejection. Two-sided acceptance interval created by increasing the tolerance interval on either side by a guard band, thus reducing the probability of falsely rejecting a conforming item.				
08077	Horwitz equation	Empirical relationship providing a standard deviation under reproducibility conditions of measurement (\(s_{\rm{R,H}}\)) to be expected for typical measurements of the mass fraction (\(w\)) of a component in a material: \(s_{\rm{R,H}} = 0.02 w^{0.8495}\).	Horwitz curve|Horwitz horn curve|Horwitz trumpet curve			
08078	Horwitz ratio	Standard deviation of a mass fraction of a component under reproducibility conditions of measurement divided by the corresponding standard deviation calculated from the Horwitz equation. Figure 1: Horwitz curve (trumpet, horn). Expected relative standard deviation under reproducibility conditions of measurement, \(\pm s_{\rm{R,H}}/w\) plotted against logarithm of mass fraction, \(w\).	HORRAT|Horrat			
08079	in-house reference material	Reference material produced and used by an analytical laboratory.	laboratory reference material			
08080	inspection	Examination of a product, process, service, or installation or their design and determination of conformity with specific requirements or on the basis of professional judgment, with general requirements.				
08081	interlaboratory comparison	Organization, performance, and evaluation of measurements or tests on the same or similar items by two or more laboratories in accordance with predetermined conditions.	ILC			
08082	internal quality control	Quality control within a specified laboratory.	IQC			
