text	curie	name	predicate	type	provenance	source
pia mater	goldbook:12010	pia	oboInOwl:hasRelatedSynonym			goldbook
pia	goldbook:12010	pia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
plexus	goldbook:12011	plexus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pontine respiratory group	goldbook:12012	pneumotaxic center	oboInOwl:hasRelatedSynonym			goldbook
pneumotaxic center	goldbook:12012	pneumotaxic center	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
polyneuritis	goldbook:12013	polyneuritis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
polyneuropathy	goldbook:12014	polyneuropathy	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
posterior fossa	goldbook:12015	posterior fossa	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
postsynaptic	goldbook:12016	postsynaptic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
long-term potentiation	goldbook:12017	long-term potentiation	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
presynaptic	goldbook:12018	presynaptic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
prodromal stage	goldbook:12019	prodromal stage	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
prodrome	goldbook:12020	prodrome	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
POMS	goldbook:12021	profile of mood state test	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
POMS test	goldbook:12021	profile of mood state test	oboInOwl:hasRelatedSynonym			goldbook
profile of mood state test	goldbook:12021	profile of mood state test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
proprioception	goldbook:12022	proprioception	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
proprioceptor	goldbook:12023	proprioceptor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
PBA	goldbook:12024	pseudobulbar affect	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
pseudobulbar affect	goldbook:12024	pseudobulbar affect	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pseudomeningocele	goldbook:12025	pseudomeningocele	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
idiopathic intracranial hypertension	goldbook:12026	pseudotumor cerebri	oboInOwl:hasRelatedSynonym			goldbook
pseudotumor cerebri	goldbook:12026	pseudotumor cerebri	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
psychoactive	goldbook:12027	psychoactive	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
PNI	goldbook:12028	psychoneuroimmunology	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
psychoneuroimmunology	goldbook:12028	psychoneuroimmunology	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
psychosis	goldbook:12029	psychosis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
organic brain syndrome	goldbook:12030	organic psychosis	oboInOwl:hasRelatedSynonym			goldbook
organic psychosis	goldbook:12030	organic psychosis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
psychotropic	goldbook:12031	psychotropic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
puffer fish	goldbook:12032	puffer fish	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Purkinje cell	goldbook:12033	Purkinje cell	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pursuit aiming test	goldbook:12034	pursuit aiming test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
putamen	goldbook:12035	putamen	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pyknosis	goldbook:12036	pyknosis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pyramidal cell	goldbook:12037	pyramidal cell	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pyrethroid	goldbook:12038	pyrethroid	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
quadriplegia	goldbook:12039	quadriplegia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
radial arm maze	goldbook:12040	radial arm maze	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
radiculitis	goldbook:12041	radiculitis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
rearing	goldbook:12042	rearing	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
rebound	goldbook:12043	rebound	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
reflex	goldbook:12044	reflex	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
RSD	goldbook:12045	reflex sympathetic dystrophy	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
reflex sympathetic dystrophy	goldbook:12045	reflex sympathetic dystrophy	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
reinforcement	goldbook:12046	reinforcement	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
relaxant	goldbook:12047	relaxant	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
reperfusion	goldbook:12048	reperfusion	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
repolarization	goldbook:12049	repolarization	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
resolution phase	goldbook:12050	resolution phase	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
resting potential	goldbook:12051	resting potential	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
retrograde axonal transport	goldbook:12052	retrograde axonal transport	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
reuptake	goldbook:12053	reuptake	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ROCF Test	goldbook:12054	Rey–Osterrieth complex figure test	oboInOwl:hasRelatedSynonym			goldbook
Rey–Osterrieth complex figure test	goldbook:12054	Rey–Osterrieth complex figure test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
righting reflex	goldbook:12055	righting reflex	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
aerial righting test	goldbook:12056	righting test	oboInOwl:hasRelatedSynonym			goldbook
righting test	goldbook:12056	righting test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
surface righting test	goldbook:12057	surface righting test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
rotarod test	goldbook:12058	rotarod test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
saccadic eye movement	goldbook:12059	saccadic eye movement	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Saint Anthony fire	goldbook:12060	Saint Anthony fire	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Santa Ana dexterity test	goldbook:12061	Santa Ana dexterity test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
SCOB	goldbook:12062	schedule-controlled operant behaviour	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
schedule-controlled operant behaviour	goldbook:12062	schedule-controlled operant behaviour	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
schedule of reinforcement	goldbook:12063	schedule of reinforcement	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Schwann cell	goldbook:12064	Schwann cell	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sclerosis	goldbook:12065	sclerosis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Scombroid poisoning	goldbook:12066	Scombroid poisoning	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sedative	goldbook:12067	sedative	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
SSRI	goldbook:12068	selective serotonin reuptake inhibitor	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
selective serotonin reuptake inhibitor	goldbook:12068	selective serotonin reuptake inhibitor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
senility	goldbook:12069	senility	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sensory neuron	goldbook:12070	sensory neuron	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
serotoninergic	goldbook:12071	serotoninergic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
shellfish poisoning	goldbook:12072	shellfish poisoning	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
shunt	goldbook:12073	shunt	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sick building syndrome	goldbook:12074	sick building syndrome	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
silver staining	goldbook:12075	silver staining	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
simple reaction time test	goldbook:12076	simple reaction time test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
SLUDGE	goldbook:12077	SLUDDE	oboInOwl:hasRelatedSynonym	omo:0003012		goldbook
SLUDDE	goldbook:12077	SLUDDE	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
social interaction test	goldbook:12078	social interaction test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
soporific	goldbook:12079	soporific	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
spasm	goldbook:12080	spasm	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
spasmolytic	goldbook:12081	spasmolytic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
spastic	goldbook:12082	spastic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
spasticity	goldbook:12083	spasticity	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sphingolipid	goldbook:12084	sphingolipid	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sphingomyelin	goldbook:12085	sphingomyelin	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
2-aminooctadec-4-ene-1,3-diol	goldbook:12086	sphingosine	oboInOwl:hasRelatedSynonym			goldbook
sphingosine	goldbook:12086	sphingosine	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
startle part	goldbook:12087	startle reaction	oboInOwl:hasRelatedSynonym			goldbook
startle response	goldbook:12087	startle reaction	oboInOwl:hasRelatedSynonym			goldbook
startle reaction	goldbook:12087	startle reaction	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
startle reflex	goldbook:12088	startle reflex	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
acoustic startle response test	goldbook:12089	acoustic startle response test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
status epilepticus	goldbook:12090	status epilepticus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
stereology	goldbook:12091	stereology	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
unbiased stereology	goldbook:12092	unbiased stereology	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
stimulant	goldbook:12093	stimulant	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
stimulus	goldbook:12094	stimulus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
conditioned stimulus	goldbook:12095	conditioned stimulus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
unconditioned stimulus	goldbook:12096	unconditioned stimulus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
striatum	goldbook:12097	striatum	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
stroke	goldbook:12098	stroke	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
stupor	goldbook:12099	stupor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
subarachnoid	goldbook:12100	subarachnoid	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
subarachnoid hemorrhage	goldbook:12101	subarachnoid hemorrhage	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
subdural	goldbook:12102	subdural	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
substantia nigra	goldbook:12103	substantia nigra	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
supratentorial	goldbook:12104	supratentorial	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
supratentorial herniation	goldbook:12105	supratentorial herniation	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
behavioral despair test	goldbook:12106	swimming test	oboInOwl:hasRelatedSynonym			goldbook
forced swimming test	goldbook:12106	swimming test	oboInOwl:hasRelatedSynonym			goldbook
Porsolt forced swimming test	goldbook:12106	swimming test	oboInOwl:hasRelatedSynonym			goldbook
swimming test	goldbook:12106	swimming test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
sympathetic nervous system	goldbook:12107	sympathetic nervous system	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
adrenergic	goldbook:12108	sympathomimetic	oboInOwl:hasRelatedSynonym			goldbook
sympathomimetic	goldbook:12108	sympathomimetic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synapse	goldbook:12109	synapse	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synaptic cleft	goldbook:12110	synaptic cleft	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synaptic inhibition	goldbook:12111	synaptic inhibition	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synaptic plasticity	goldbook:12112	synaptic plasticity	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synaptic stripping	goldbook:12113	synaptic stripping	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
synaptic transmission	goldbook:12114	synaptic transmission	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
syrinx	goldbook:12115	syringomyelia	oboInOwl:hasRelatedSynonym			goldbook
syringomyelia	goldbook:12115	syringomyelia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
T-maze	goldbook:12116	T-maze	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tachycardia	goldbook:12117	tachycardia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tail flick test	goldbook:12118	tail flick test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tail immersion test	goldbook:12119	tail immersion test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tail suspension test	goldbook:12120	tail suspension test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tauopathy	goldbook:12121	tauopathy	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tau protein	goldbook:12122	tau protein	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
TDP-43 transcription factor	goldbook:12123	TDP-43 transcription factor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
temperature sensitivity	goldbook:12124	temperature sensitivity	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
temporal lobe	goldbook:12125	temporal lobe	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tentorium cerebelli	goldbook:12126	tentorium	oboInOwl:hasRelatedSynonym			goldbook
tentorium	goldbook:12126	tentorium	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetanic	goldbook:12127	tetanic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetanus	goldbook:12128	tetanus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetanospasmin	goldbook:12129	tetanus toxin	oboInOwl:hasRelatedSynonym			goldbook
tetanus toxin	goldbook:12129	tetanus toxin	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetanus toxin-binding ganglioside	goldbook:12130	tetanus toxin-binding ganglioside	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetany	goldbook:12131	tetany	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tetrad test	goldbook:12132	tetrad test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
TTX	goldbook:12133	tetrodotoxin	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
4R,4aR,5R,6S,7S,8S,8aR,10S,12S)-2-azaniumylidene-4,6,8,12-tetrahydroxy-6-(hydroxymethyl)-2,3,4,4a,5,6,7,8-octahydro-1H-8a,10-methano-5,7-(epoxymethanooxy)quinazolin-10-olate	goldbook:12133	tetrodotoxin	oboInOwl:hasRelatedSynonym			goldbook
tetrodotoxin	goldbook:12133	tetrodotoxin	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
TTX-insensitive	goldbook:12134	tetrodotoxin-insensitive	oboInOwl:hasRelatedSynonym			goldbook
tetrodotoxin-insensitive	goldbook:12134	tetrodotoxin-insensitive	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
thigmotaxis	goldbook:12135	thigmotaxis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
thoracic spine	goldbook:12136	thoracic spine	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
threshold potential	goldbook:12137	threshold potential	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
thrombus	goldbook:12138	thrombus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tingling	goldbook:12139	tingling	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tinnitus	goldbook:12140	tinnitus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tomography	goldbook:12141	tomography	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
wry neck	goldbook:12142	torticollis	oboInOwl:hasRelatedSynonym			goldbook
torticollis	goldbook:12142	torticollis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
toxic substance	goldbook:12143	toxic substance	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tranquilizer	goldbook:12144	tranquilizer	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
TENS	goldbook:12145	transcutaneous electronic nerve stimulation	oboInOwl:hasRelatedSynonym	omo:0003012		goldbook
transcutaneous electronic nerve stimulation	goldbook:12145	transcutaneous electronic nerve stimulation	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
transsynaptic	goldbook:12146	transsynaptic	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
transtentorial herniation	goldbook:12147	transtentorial herniation	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
treadmill test	goldbook:12148	treadmill test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tremor	goldbook:12149	tremor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
trigeminal nerve	goldbook:12150	trigeminal nerve	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
tic douloureux	goldbook:12151	trigeminal neuralgia	oboInOwl:hasRelatedSynonym			goldbook
trigeminal neuralgia	goldbook:12151	trigeminal neuralgia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
triptan	goldbook:12152	triptan	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
unconscious	goldbook:12153	unconscious	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
uncus	goldbook:12154	uncus	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
upper motor neuron	goldbook:12155	upper motor neuron	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vagus nerve	goldbook:12156	vagus nerve	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vasoconstriction	goldbook:12157	vasoconstriction	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vasodilator	goldbook:12158	vasodilator	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
pressor	goldbook:12159	vasopressor	oboInOwl:hasRelatedSynonym			goldbook
vasoconstrictor	goldbook:12159	vasopressor	oboInOwl:hasRelatedSynonym			goldbook
vasopressor	goldbook:12159	vasopressor	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vasodilatation	goldbook:12160	vasorelaxation	oboInOwl:hasRelatedSynonym			goldbook
vasodilation	goldbook:12160	vasorelaxation	oboInOwl:hasRelatedSynonym			goldbook
vasorelaxation	goldbook:12160	vasorelaxation	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
angiospasm	goldbook:12161	vasospasm	oboInOwl:hasRelatedSynonym			goldbook
vasospasm	goldbook:12161	vasospasm	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
venom	goldbook:12162	venom	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ventricle	goldbook:12163	ventricle	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ventriculo-atrial shunt	goldbook:12164	ventriculo-atrial shunt	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ventriculogram	goldbook:12165	ventriculogram	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ventriculomegaly	goldbook:12166	ventriculomegaly	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ventriculo-peritoneal shunt	goldbook:12167	ventriculo-peritoneal shunt	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vermis cerebelli	goldbook:12168	vermis	oboInOwl:hasRelatedSynonym			goldbook
vermis	goldbook:12168	vermis	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
spine	goldbook:12169	vertebral column	oboInOwl:hasRelatedSynonym			goldbook
vertebral column	goldbook:12169	vertebral column	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vertigo	goldbook:12170	vertigo	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vigilance	goldbook:12171	vigilance	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
vigilance decrement	goldbook:12172	vigilance decrement	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
visual cortex	goldbook:12173	visual cortex	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
voltage-gated ion channel	goldbook:12174	voltage-gated ion channel	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Morris water maze test	goldbook:12175	water maze test	oboInOwl:hasRelatedSynonym			goldbook
water navigation test	goldbook:12175	water maze test	oboInOwl:hasRelatedSynonym			goldbook
water maze test	goldbook:12175	water maze test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
fluent aphasia	goldbook:12176	Wernicke aphasia	oboInOwl:hasRelatedSynonym			goldbook
receptive aphasia	goldbook:12176	Wernicke aphasia	oboInOwl:hasRelatedSynonym			goldbook
sensory aphasia	goldbook:12176	Wernicke aphasia	oboInOwl:hasRelatedSynonym			goldbook
Wernicke aphasia	goldbook:12176	Wernicke aphasia	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Wernicke’s area	goldbook:12177	Wernicke’s area	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
alcoholic encephalopathy	goldbook:12178	Wernicke–Korsakoff syndrome	oboInOwl:hasRelatedSynonym			goldbook
Wernicke–Korsakoff syndrome	goldbook:12178	Wernicke–Korsakoff syndrome	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
ALS-PDC	goldbook:12179	Western Pacific amyotrophic lateral sclerosis and parkinsonism–dementia complex	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
Western Pacific amyotrophic lateral sclerosis and parkinsonism–dementia complex	goldbook:12179	Western Pacific amyotrophic lateral sclerosis and parkinsonism–dementia complex	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
WCST	goldbook:12180	Wisconsin card sorting test	oboInOwl:hasRelatedSynonym	omo:0003000		goldbook
Wisconsin card sorting test	goldbook:12180	Wisconsin card sorting test	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
withdrawal	goldbook:12181	withdrawal	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
withdrawal effect	goldbook:12182	withdrawal effect	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Wolfgram protein	goldbook:12183	Wolfgram protein	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
radial nerve palsy	goldbook:12184	wrist drop	oboInOwl:hasRelatedSynonym			goldbook
Teleky’s sign	goldbook:12184	wrist drop	oboInOwl:hasRelatedSynonym			goldbook
wrist drop	goldbook:12184	wrist drop	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
Danio rerio	goldbook:12185	zebrafish	oboInOwl:hasRelatedSynonym			goldbook
zebrafish	goldbook:12185	zebrafish	rdfs:label		doi:10.1515/pac-2015-0103	goldbook
segment	goldbook:12186	chain segment	oboInOwl:hasRelatedSynonym			goldbook
chain segment	goldbook:12186	chain segment	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
bond-conformational state (in polymer science)	goldbook:12187	rotational isomeric state	oboInOwl:hasRelatedSynonym			goldbook
rotational isomeric state	goldbook:12187	rotational isomeric state	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
chain conformation	goldbook:12188	chain conformation	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
unperturbed conformational state	goldbook:12189	unperturbed conformational state	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
unperturbed radius of gyration	goldbook:12190	unperturbed radius of gyration	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
root-mean-square radius of gyration	goldbook:12191	root-mean-square radius of gyration	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mean-square radius of gyration	goldbook:12192	mean-square radius of gyration	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
root-mean-square unperturbed radius of gyration	goldbook:12193	root-mean-square unperturbed radius of gyration	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mean-square unperturbed radius of gyration	goldbook:12194	mean-square unperturbed radius of gyration	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
unperturbed end-to-end vector	goldbook:12195	unperturbed end-to-end vector	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
unperturbed end-to-end distance	goldbook:12196	unperturbed end-to-end distance	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mean-square end-to-end distance	goldbook:12197	mean-square end-to-end distance	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
root-mean-square unperturbed end-to-end distance	goldbook:12198	root-mean-square unperturbed end-to-end distance	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mean-square unperturbed end-to-end distance	goldbook:12199	mean-square unperturbed end-to-end distance	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
root-mean-square end-to-end distance of a freely rotating chain	goldbook:12200	root-mean-square end-to-end distance of a freely rotating chain	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mean-square end-to-end distance of a freely rotating chain	goldbook:12201	mean-square end-to-end distance of a freely rotating chain	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
effective bond length	goldbook:12202	effective bond length	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
equivalent freely jointed chain	goldbook:12203	equivalent freely jointed chain	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
equivalent freely jointed link	goldbook:12204	Kuhn segment	oboInOwl:hasRelatedSynonym			goldbook
statistical segment	goldbook:12204	Kuhn segment	oboInOwl:hasRelatedSynonym			goldbook
Kuhn segment	goldbook:12204	Kuhn segment	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
freely jointed link length	goldbook:12205	Kuhn segment length	oboInOwl:hasRelatedSynonym			goldbook
statistical segment length	goldbook:12205	Kuhn segment length	oboInOwl:hasRelatedSynonym			goldbook
Kuhn segment length	goldbook:12205	Kuhn segment length	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
self-avoiding random-walk chain	goldbook:12206	self-avoiding random-walk chain	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
macromolecular coil	goldbook:12207	macromolecular coil	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
chain stiffness	goldbook:12209	chain stiffness	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
contraction factor	goldbook:12212	<i>g</i>-factor	oboInOwl:hasRelatedSynonym			goldbook
geometric contraction factor	goldbook:12212	<i>g</i>-factor	oboInOwl:hasRelatedSynonym			goldbook
radius of gyration contraction factor	goldbook:12212	<i>g</i>-factor	oboInOwl:hasRelatedSynonym			goldbook
<i>g</i>-factor	goldbook:12212	<i>g</i>-factor	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
hydrodynamic contraction factor	goldbook:12213	<i>g</i>′-factor	oboInOwl:hasRelatedSynonym			goldbook
viscosity contraction factor	goldbook:12213	<i>g</i>′-factor	oboInOwl:hasRelatedSynonym			goldbook
<i>g</i>′-factor	goldbook:12213	<i>g</i>′-factor	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
molar mass	goldbook:12214	molar mass	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
molar-mass average	goldbook:12215	molar-mass average	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
number-average molar mass	goldbook:12216	number-average molar mass	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
mass-average molar mass	goldbook:12217	mass-average molar mass	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
z-average molar mass	goldbook:12218	z-average molar mass	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
(z + 1)-average molar mass	goldbook:12219	(z + 1)-average molar mass	rdfs:label		doi:10.1515/pac-2013-0201	goldbook
