identifier	name	definition	synonyms	alts	parents	species
BSD-3-Clause-No-Nuclear-License	BSD 3-Clause No Nuclear License		BSD-3-Clause-No-Nuclear-License		spdx.term:ListedLicense	
BSD-3-Clause-No-Nuclear-License-2014	BSD 3-Clause No Nuclear License 2014		BSD-3-Clause-No-Nuclear-License-2014		spdx.term:ListedLicense	
BSD-3-Clause-No-Nuclear-Warranty	BSD 3-Clause No Nuclear Warranty		BSD-3-Clause-No-Nuclear-Warranty		spdx.term:ListedLicense	
BSD-3-Clause-Open-MPI	BSD 3-Clause Open MPI variant		BSD-3-Clause-Open-MPI		spdx.term:ListedLicense	
BSD-3-Clause-Sun	BSD 3-Clause Sun Microsystems		BSD-3-Clause-Sun		spdx.term:ListedLicense	
BSD-3-Clause-Tso	BSD 3-Clause Tso variant		BSD-3-Clause-Tso		spdx.term:ListedLicense	
BSD-3-Clause-acpica	BSD 3-Clause acpica variant		BSD-3-Clause-acpica		spdx.term:ListedLicense	
BSD-3-Clause-flex	BSD 3-Clause Flex variant		BSD-3-Clause-flex		spdx.term:ListedLicense	
BSD-4-Clause	BSD 4-Clause "Original" or "Old" License		BSD-4-Clause		spdx.term:ListedLicense	
BSD-4-Clause-Shortened	BSD 4 Clause Shortened		BSD-4-Clause-Shortened		spdx.term:ListedLicense	
BSD-4-Clause-UC	BSD-4-Clause (University of California-Specific)		BSD-4-Clause-UC		spdx.term:ListedLicense	
BSD-4.3RENO	BSD 4.3 RENO License		BSD-4.3RENO		spdx.term:ListedLicense	
BSD-4.3TAHOE	BSD 4.3 TAHOE License		BSD-4.3TAHOE		spdx.term:ListedLicense	
BSD-Advertising-Acknowledgement	BSD Advertising Acknowledgement License		BSD-Advertising-Acknowledgement		spdx.term:ListedLicense	
BSD-Attribution-HPND-disclaimer	BSD with Attribution and HPND disclaimer		BSD-Attribution-HPND-disclaimer		spdx.term:ListedLicense	
BSD-Inferno-Nettverk	BSD-Inferno-Nettverk		BSD-Inferno-Nettverk		spdx.term:ListedLicense	
BSD-Mark-Modifications	BSD Mark Modifications License		BSD-Mark-Modifications		spdx.term:ListedLicense	
BSD-Protection	BSD Protection License		BSD-Protection		spdx.term:ListedLicense	
BSD-Source-Code	BSD Source Code Attribution		BSD-Source-Code		spdx.term:ListedLicense	
BSD-Source-beginning-file	BSD Source Code Attribution - beginning of file variant		BSD-Source-beginning-file		spdx.term:ListedLicense	
BSD-Systemics	Systemics BSD variant license		BSD-Systemics		spdx.term:ListedLicense	
BSD-Systemics-W3Works	Systemics W3Works BSD variant license		BSD-Systemics-W3Works		spdx.term:ListedLicense	
BSL-1.0	Boost Software License 1.0		BSL-1.0		spdx.term:ListedLicense	
BUSL-1.1	Business Source License 1.1		BUSL-1.1		spdx.term:ListedLicense	
Baekmuk	Baekmuk License		Baekmuk		spdx.term:ListedLicense	
Bahyph	Bahyph License		Bahyph		spdx.term:ListedLicense	
Barr	Barr License		Barr		spdx.term:ListedLicense	
Beerware	Beerware License		Beerware		spdx.term:ListedLicense	
BitTorrent-1.0	BitTorrent Open Source License v1.0		BitTorrent-1.0		spdx.term:ListedLicense	
BitTorrent-1.1	BitTorrent Open Source License v1.1		BitTorrent-1.1		spdx.term:ListedLicense	
Bitstream-Charter	Bitstream Charter Font License		Bitstream-Charter		spdx.term:ListedLicense	
Bitstream-Vera	Bitstream Vera Font License		Bitstream-Vera		spdx.term:ListedLicense	
BlueOak-1.0.0	Blue Oak Model License 1.0.0		BlueOak-1.0.0		spdx.term:ListedLicense	
Boehm-GC	Boehm-Demers-Weiser GC License		Boehm-GC		spdx.term:ListedLicense	
Boehm-GC-without-fee	Boehm-Demers-Weiser GC License (without fee)		Boehm-GC-without-fee		spdx.term:ListedLicense	
Borceux	Borceux license		Borceux		spdx.term:ListedLicense	
Brian-Gladman-2-Clause	Brian Gladman 2-Clause License		Brian-Gladman-2-Clause		spdx.term:ListedLicense	
Brian-Gladman-3-Clause	Brian Gladman 3-Clause License		Brian-Gladman-3-Clause		spdx.term:ListedLicense	
C-UDA-1.0	Computational Use of Data Agreement v1.0		C-UDA-1.0		spdx.term:ListedLicense	
CAL-1.0	Cryptographic Autonomy License 1.0		CAL-1.0		spdx.term:ListedLicense	
CAL-1.0-Combined-Work-Exception	Cryptographic Autonomy License 1.0 (Combined Work Exception)		CAL-1.0-Combined-Work-Exception		spdx.term:ListedLicense	
CATOSL-1.1	Computer Associates Trusted Open Source License 1.1		CATOSL-1.1		spdx.term:ListedLicense	
CC-BY-1.0	Creative Commons Attribution 1.0 Generic		CC-BY-1.0		spdx.term:ListedLicense	
CC-BY-2.0	Creative Commons Attribution 2.0 Generic		CC-BY-2.0		spdx.term:ListedLicense	
CC-BY-2.5	Creative Commons Attribution 2.5 Generic		CC-BY-2.5		spdx.term:ListedLicense	
CC-BY-2.5-AU	Creative Commons Attribution 2.5 Australia		CC-BY-2.5-AU		spdx.term:ListedLicense	
CC-BY-3.0	Creative Commons Attribution 3.0 Unported		CC-BY-3.0		spdx.term:ListedLicense	
CC-BY-3.0-AT	Creative Commons Attribution 3.0 Austria		CC-BY-3.0-AT		spdx.term:ListedLicense	
CC-BY-3.0-AU	Creative Commons Attribution 3.0 Australia		CC-BY-3.0-AU		spdx.term:ListedLicense	
CC-BY-3.0-DE	Creative Commons Attribution 3.0 Germany		CC-BY-3.0-DE		spdx.term:ListedLicense	
CC-BY-3.0-IGO	Creative Commons Attribution 3.0 IGO		CC-BY-3.0-IGO		spdx.term:ListedLicense	
CC-BY-3.0-NL	Creative Commons Attribution 3.0 Netherlands		CC-BY-3.0-NL		spdx.term:ListedLicense	
CC-BY-3.0-US	Creative Commons Attribution 3.0 United States		CC-BY-3.0-US		spdx.term:ListedLicense	
CC-BY-4.0	Creative Commons Attribution 4.0 International		CC-BY-4.0		spdx.term:ListedLicense	
CC-BY-NC-1.0	Creative Commons Attribution Non Commercial 1.0 Generic		CC-BY-NC-1.0		spdx.term:ListedLicense	
