text	curie	name	predicate	source
Asthma Attack	pharmgkb.disease:PA166179129	Status asthmaticus	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Exacerbation of asthma (disorder)	pharmgkb.disease:PA166179129	Status asthmaticus	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Status asthmaticus	pharmgkb.disease:PA166179129	Status asthmaticus	rdfs:label	pharmgkb.disease
Henoch-Scholein purpura	pharmgkb.disease:PA166180791	Immunoglobulin A vasculitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
IgA vasculitis	pharmgkb.disease:PA166180791	Immunoglobulin A vasculitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Schoenlein-Henoch purpura	pharmgkb.disease:PA166180791	Immunoglobulin A vasculitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
henoch-schonlein purpura nephritis	pharmgkb.disease:PA166180791	Immunoglobulin A vasculitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Immunoglobulin A vasculitis	pharmgkb.disease:PA166180791	Immunoglobulin A vasculitis	rdfs:label	pharmgkb.disease
Renal transplant failure	pharmgkb.disease:PA166180841	Renal transplant failure	rdfs:label	pharmgkb.disease
Microscopic	pharmgkb.disease:PA166180889	Microscopic polyangiitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Polyangiitides	pharmgkb.disease:PA166180889	Microscopic polyangiitis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Microscopic polyangiitis	pharmgkb.disease:PA166180889	Microscopic polyangiitis	rdfs:label	pharmgkb.disease
Pain crisis (finding)	pharmgkb.disease:PA166181003	Sickle cell pain crisis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sickle cell crisis	pharmgkb.disease:PA166181003	Sickle cell pain crisis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sickle cell vasoocclusive crisis	pharmgkb.disease:PA166181003	Sickle cell pain crisis	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sickle cell pain crisis	pharmgkb.disease:PA166181003	Sickle cell pain crisis	rdfs:label	pharmgkb.disease
short qt syndrome	pharmgkb.disease:PA166183773	short qt syndrome	rdfs:label	pharmgkb.disease
short qt syndrome 1	pharmgkb.disease:PA166183774	short qt syndrome 1	rdfs:label	pharmgkb.disease
Cravings	pharmgkb.disease:PA166184864	Craving	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Craving	pharmgkb.disease:PA166184864	Craving	rdfs:label	pharmgkb.disease
dysphoria	pharmgkb.disease:PA166185295	dysphoria	rdfs:label	pharmgkb.disease
Disorders of Excessive Somnolence	pharmgkb.disease:PA166185626	Somnolence	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Sleepiness	pharmgkb.disease:PA166185626	Somnolence	oboInOwl:hasRelatedSynonym	pharmgkb.disease
drowsiness	pharmgkb.disease:PA166185626	Somnolence	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Somnolence	pharmgkb.disease:PA166185626	Somnolence	rdfs:label	pharmgkb.disease
Ideation	pharmgkb.disease:PA166186039	suicidal ideation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Suicidal	pharmgkb.disease:PA166186039	suicidal ideation	oboInOwl:hasRelatedSynonym	pharmgkb.disease
suicidal ideation	pharmgkb.disease:PA166186039	suicidal ideation	rdfs:label	pharmgkb.disease
Chronic lung allograft dysfunction	pharmgkb.disease:PA166195784	Chronic lung allograft dysfunction	rdfs:label	pharmgkb.disease
2019-nCoV	pharmgkb.disease:PA166197121	COVID-19	oboInOwl:hasRelatedSynonym	pharmgkb.disease
SARS-CoV-2	pharmgkb.disease:PA166197121	COVID-19	oboInOwl:hasRelatedSynonym	pharmgkb.disease
SARS-nCoV-2	pharmgkb.disease:PA166197121	COVID-19	oboInOwl:hasRelatedSynonym	pharmgkb.disease
COVID-19	pharmgkb.disease:PA166197121	COVID-19	rdfs:label	pharmgkb.disease
Cytokine Release Syndrome	pharmgkb.disease:PA166197201	Cytokine storm	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Cytokine storm	pharmgkb.disease:PA166197201	Cytokine storm	rdfs:label	pharmgkb.disease
Drug-induced lupus erythematosus caused by hydralazine (disorder)	pharmgkb.disease:PA166205041	drug-induced lupus erythematosus due to hydralazine	oboInOwl:hasRelatedSynonym	pharmgkb.disease
drug-induced lupus erythematosus due to hydralazine	pharmgkb.disease:PA166205041	drug-induced lupus erythematosus due to hydralazine	rdfs:label	pharmgkb.disease
eosinophilic esophagitis	pharmgkb.disease:PA166224501	eosinophilic esophagitis	rdfs:label	pharmgkb.disease
Compulsive sexual behaviour	pharmgkb.disease:PA166232141	Amplification of sexual behavior	oboInOwl:hasRelatedSynonym	pharmgkb.disease
hypersexuality state	pharmgkb.disease:PA166232141	Amplification of sexual behavior	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Amplification of sexual behavior	pharmgkb.disease:PA166232141	Amplification of sexual behavior	rdfs:label	pharmgkb.disease
protein adduct	pharmgkb.disease:PA166245601	protein adduct	rdfs:label	pharmgkb.disease
Apnea of prematurity (disorder)	pharmgkb.disease:PA166248161	Apnea of prematurity	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Apnea of prematurity	pharmgkb.disease:PA166248161	Apnea of prematurity	rdfs:label	pharmgkb.disease
Primary graft failure (finding)	pharmgkb.disease:PA166248341	primary graft failure	oboInOwl:hasRelatedSynonym	pharmgkb.disease
primary graft failure	pharmgkb.disease:PA166248341	primary graft failure	rdfs:label	pharmgkb.disease
CINCA syndrome	pharmgkb.disease:PA166248761	neonatal-onset multisystemic inflammatory disease	oboInOwl:hasRelatedSynonym	pharmgkb.disease
NOMID	pharmgkb.disease:PA166248761	neonatal-onset multisystemic inflammatory disease	oboInOwl:hasRelatedSynonym	pharmgkb.disease
neonatal-onset multisystemic inflammatory disease	pharmgkb.disease:PA166248761	neonatal-onset multisystemic inflammatory disease	rdfs:label	pharmgkb.disease
DIRA	pharmgkb.disease:PA166248781	deficiency of the interleukin-1 receptor antagonist	oboInOwl:hasRelatedSynonym	pharmgkb.disease
deficiency of the interleukin-1 receptor antagonist	pharmgkb.disease:PA166248781	deficiency of the interleukin-1 receptor antagonist	rdfs:label	pharmgkb.disease
Primary central nervous system lymphoma	pharmgkb.disease:PA166252441	Primary central nervous system lymphoma	rdfs:label	pharmgkb.disease
Bisphosphonate-Associated Osteonecrosis of the Jaw	pharmgkb.disease:PA166256642	Osteonecrosis of the jaw	oboInOwl:hasRelatedSynonym	pharmgkb.disease
ONJ	pharmgkb.disease:PA166256642	Osteonecrosis of the jaw	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Osteonecrosis of jaw caused by drug (disorder)	pharmgkb.disease:PA166256642	Osteonecrosis of the jaw	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Osteonecrosis of the jaw	pharmgkb.disease:PA166256642	Osteonecrosis of the jaw	rdfs:label	pharmgkb.disease
Ageing	pharmgkb.disease:PA166257721	aging	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Mortality/Aging	pharmgkb.disease:PA166257721	aging	oboInOwl:hasRelatedSynonym	pharmgkb.disease
aging	pharmgkb.disease:PA166257721	aging	rdfs:label	pharmgkb.disease
Concentration ability	pharmgkb.disease:PA166264221	Diminished ability to concentrate	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Diminished ability to concentrate	pharmgkb.disease:PA166264221	Diminished ability to concentrate	rdfs:label	pharmgkb.disease
drug-drug pharmacokinetic interaction	pharmgkb.disease:PA166279841	drug-drug pharmacokinetic interaction	rdfs:label	pharmgkb.disease
Transaminitis	pharmgkb.disease:PA166279881	Elevated liver enzymes	oboInOwl:hasRelatedSynonym	pharmgkb.disease
elevations in alanine aminotransferase (ALT)	pharmgkb.disease:PA166279881	Elevated liver enzymes	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Elevated liver enzymes	pharmgkb.disease:PA166279881	Elevated liver enzymes	rdfs:label	pharmgkb.disease
hypervitaminosis d	pharmgkb.disease:PA166282841	hypervitaminosis d	rdfs:label	pharmgkb.disease
Dose Adjustment	pharmgkb.disease:PA166285721	drug dosage altered	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Drug dosage altered (finding)	pharmgkb.disease:PA166285721	drug dosage altered	oboInOwl:hasRelatedSynonym	pharmgkb.disease
drug dosage altered	pharmgkb.disease:PA166285721	drug dosage altered	rdfs:label	pharmgkb.disease
Dubin-Johnson syndrome	pharmgkb.disease:PA166307601	Dubin-Johnson syndrome	rdfs:label	pharmgkb.disease
Polymedication	pharmgkb.disease:PA166308901	Polypharmacy	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Polypharmacy	pharmgkb.disease:PA166308901	Polypharmacy	rdfs:label	pharmgkb.disease
intraoperative procedures	pharmgkb.disease:PA166314441	surgery	oboInOwl:hasRelatedSynonym	pharmgkb.disease
surgery	pharmgkb.disease:PA166314441	surgery	rdfs:label	pharmgkb.disease
Arterial Pressure	pharmgkb.disease:PA166314521	Elevated mean arterial pressure	oboInOwl:hasRelatedSynonym	pharmgkb.disease
Elevated mean arterial pressure	pharmgkb.disease:PA166314521	Elevated mean arterial pressure	rdfs:label	pharmgkb.disease
Pupillary Reflex	pharmgkb.disease:PA166316981	reflex, pupillary	oboInOwl:hasRelatedSynonym	pharmgkb.disease
reflex, pupillary	pharmgkb.disease:PA166316981	reflex, pupillary	rdfs:label	pharmgkb.disease
