text	curie	name	predicate	source
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic	spdx:CC-BY-NC-ND-1.0	Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic	spdx:CC-BY-NC-ND-2.0	Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic	spdx:CC-BY-NC-ND-2.5	Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported	spdx:CC-BY-NC-ND-3.0	Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany	spdx:CC-BY-NC-ND-3.0-DE	Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO	spdx:CC-BY-NC-ND-3.0-IGO	Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO	rdfs:label	spdx
Creative Commons Attribution Non Commercial No Derivatives 4.0 International	spdx:CC-BY-NC-ND-4.0	Creative Commons Attribution Non Commercial No Derivatives 4.0 International	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic	spdx:CC-BY-NC-SA-1.0	Creative Commons Attribution Non Commercial Share Alike 1.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic	spdx:CC-BY-NC-SA-2.0	Creative Commons Attribution Non Commercial Share Alike 2.0 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 Germany	spdx:CC-BY-NC-SA-2.0-DE	Creative Commons Attribution Non Commercial Share Alike 2.0 Germany	rdfs:label	spdx
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France	spdx:CC-BY-NC-SA-2.0-FR	Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales	spdx:CC-BY-NC-SA-2.0-UK	Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 2.5 Generic	spdx:CC-BY-NC-SA-2.5	Creative Commons Attribution Non Commercial Share Alike 2.5 Generic	rdfs:label	spdx
Creative Commons Attribution Non Commercial Share Alike 3.0 Unported	spdx:CC-BY-NC-SA-3.0	Creative Commons Attribution Non Commercial Share Alike 3.0 Unported	rdfs:label	spdx
