text	curie	name	predicate	source
alto-networkmap+json	iana.mediatype:application/alto-networkmap+json	alto-networkmap+json	rdfs:label	iana.mediatype
alto-networkmapfilter+json	iana.mediatype:application/alto-networkmapfilter+json	alto-networkmapfilter+json	rdfs:label	iana.mediatype
alto-propmap+json	iana.mediatype:application/alto-propmap+json	alto-propmap+json	rdfs:label	iana.mediatype
alto-propmapparams+json	iana.mediatype:application/alto-propmapparams+json	alto-propmapparams+json	rdfs:label	iana.mediatype
alto-tips+json	iana.mediatype:application/alto-tips+json	alto-tips+json	rdfs:label	iana.mediatype
alto-tipsparams+json	iana.mediatype:application/alto-tipsparams+json	alto-tipsparams+json	rdfs:label	iana.mediatype
alto-updatestreamcontrol+json	iana.mediatype:application/alto-updatestreamcontrol+json	alto-updatestreamcontrol+json	rdfs:label	iana.mediatype
alto-updatestreamparams+json	iana.mediatype:application/alto-updatestreamparams+json	alto-updatestreamparams+json	rdfs:label	iana.mediatype
andrew-inset	iana.mediatype:application/andrew-inset	andrew-inset	rdfs:label	iana.mediatype
applefile	iana.mediatype:application/applefile	applefile	rdfs:label	iana.mediatype
at+jwt	iana.mediatype:application/at+jwt	at+jwt	rdfs:label	iana.mediatype
atom+xml	iana.mediatype:application/atom+xml	atom+xml	rdfs:label	iana.mediatype
atomcat+xml	iana.mediatype:application/atomcat+xml	atomcat+xml	rdfs:label	iana.mediatype
atomdeleted+xml	iana.mediatype:application/atomdeleted+xml	atomdeleted+xml	rdfs:label	iana.mediatype
atomicmail	iana.mediatype:application/atomicmail	atomicmail	rdfs:label	iana.mediatype
atomsvc+xml	iana.mediatype:application/atomsvc+xml	atomsvc+xml	rdfs:label	iana.mediatype
atsc-dwd+xml	iana.mediatype:application/atsc-dwd+xml	atsc-dwd+xml	rdfs:label	iana.mediatype
atsc-dynamic-event-message	iana.mediatype:application/atsc-dynamic-event-message	atsc-dynamic-event-message	rdfs:label	iana.mediatype
atsc-held+xml	iana.mediatype:application/atsc-held+xml	atsc-held+xml	rdfs:label	iana.mediatype
atsc-rdt+json	iana.mediatype:application/atsc-rdt+json	atsc-rdt+json	rdfs:label	iana.mediatype
atsc-rsat+xml	iana.mediatype:application/atsc-rsat+xml	atsc-rsat+xml	rdfs:label	iana.mediatype
auth-policy+xml	iana.mediatype:application/auth-policy+xml	auth-policy+xml	rdfs:label	iana.mediatype
automationml-aml+xml	iana.mediatype:application/automationml-aml+xml	automationml-aml+xml	rdfs:label	iana.mediatype
automationml-amlx+zip	iana.mediatype:application/automationml-amlx+zip	automationml-amlx+zip	rdfs:label	iana.mediatype
bacnet-xdd+zip	iana.mediatype:application/bacnet-xdd+zip	bacnet-xdd+zip	rdfs:label	iana.mediatype
batch-SMTP	iana.mediatype:application/batch-SMTP	batch-SMTP	rdfs:label	iana.mediatype
beep+xml	iana.mediatype:application/beep+xml	beep+xml	rdfs:label	iana.mediatype
bufr	iana.mediatype:application/bufr	bufr	rdfs:label	iana.mediatype
c2pa	iana.mediatype:application/c2pa	c2pa	rdfs:label	iana.mediatype
calendar+json	iana.mediatype:application/calendar+json	calendar+json	rdfs:label	iana.mediatype
calendar+xml	iana.mediatype:application/calendar+xml	calendar+xml	rdfs:label	iana.mediatype
call-completion	iana.mediatype:application/call-completion	call-completion	rdfs:label	iana.mediatype
captive+json	iana.mediatype:application/captive+json	captive+json	rdfs:label	iana.mediatype
cbor	iana.mediatype:application/cbor	cbor	rdfs:label	iana.mediatype
cbor-seq	iana.mediatype:application/cbor-seq	cbor-seq	rdfs:label	iana.mediatype
cccex	iana.mediatype:application/cccex	cccex	rdfs:label	iana.mediatype
ccmp+xml	iana.mediatype:application/ccmp+xml	ccmp+xml	rdfs:label	iana.mediatype
ccxml+xml	iana.mediatype:application/ccxml+xml	ccxml+xml	rdfs:label	iana.mediatype
cda+xml	iana.mediatype:application/cda+xml	cda+xml	rdfs:label	iana.mediatype
cdmi-capability	iana.mediatype:application/cdmi-capability	cdmi-capability	rdfs:label	iana.mediatype
cdmi-container	iana.mediatype:application/cdmi-container	cdmi-container	rdfs:label	iana.mediatype
cdmi-domain	iana.mediatype:application/cdmi-domain	cdmi-domain	rdfs:label	iana.mediatype
cdmi-object	iana.mediatype:application/cdmi-object	cdmi-object	rdfs:label	iana.mediatype
cdmi-queue	iana.mediatype:application/cdmi-queue	cdmi-queue	rdfs:label	iana.mediatype
cdni	iana.mediatype:application/cdni	cdni	rdfs:label	iana.mediatype
