identifier	name	definition	synonyms	alts	parents	species
application/cbor-seq	cbor-seq				obo:iana.mediatype#application	
application/cccex	cccex				obo:iana.mediatype#application	
application/ccmp+xml	ccmp+xml				obo:iana.mediatype#application	
application/ccxml+xml	ccxml+xml				obo:iana.mediatype#application	
application/cda+xml	cda+xml				obo:iana.mediatype#application	
application/cdmi-capability	cdmi-capability				obo:iana.mediatype#application	
application/cdmi-container	cdmi-container				obo:iana.mediatype#application	
application/cdmi-domain	cdmi-domain				obo:iana.mediatype#application	
application/cdmi-object	cdmi-object				obo:iana.mediatype#application	
application/cdmi-queue	cdmi-queue				obo:iana.mediatype#application	
application/cdni	cdni				obo:iana.mediatype#application	
application/ce+cbor	ce+cbor				obo:iana.mediatype#application	
application/cea-2018+xml	cea-2018+xml				obo:iana.mediatype#application	
application/cellml+xml	cellml+xml				obo:iana.mediatype#application	
application/cfw	cfw				obo:iana.mediatype#application	
application/cid	cid				obo:iana.mediatype#application	
application/cid-edhoc+cbor-seq	cid-edhoc+cbor-seq				obo:iana.mediatype#application	
application/city+json	city+json				obo:iana.mediatype#application	
application/city+json-seq	city+json-seq				obo:iana.mediatype#application	
application/clr	clr				obo:iana.mediatype#application	
application/clue+xml	clue+xml				obo:iana.mediatype#application	
application/clue_info+xml	clue_info+xml				obo:iana.mediatype#application	
application/cms	cms				obo:iana.mediatype#application	
application/cnrp+xml	cnrp+xml				obo:iana.mediatype#application	
application/coap-eap	coap-eap				obo:iana.mediatype#application	
application/coap-group+json	coap-group+json				obo:iana.mediatype#application	
application/coap-payload	coap-payload				obo:iana.mediatype#application	
application/commonground	commonground				obo:iana.mediatype#application	
application/concise-problem-details+cbor	concise-problem-details+cbor				obo:iana.mediatype#application	
application/conference-info+xml	conference-info+xml				obo:iana.mediatype#application	
application/cose	cose				obo:iana.mediatype#application	
application/cose-key	cose-key				obo:iana.mediatype#application	
application/cose-key-set	cose-key-set				obo:iana.mediatype#application	
application/cose-x509	cose-x509				obo:iana.mediatype#application	
application/cpl+xml	cpl+xml				obo:iana.mediatype#application	
application/csrattrs	csrattrs				obo:iana.mediatype#application	
application/csta+xml	csta+xml				obo:iana.mediatype#application	
application/csvm+json	csvm+json				obo:iana.mediatype#application	
application/cwl	cwl				obo:iana.mediatype#application	
application/cwl+json	cwl+json				obo:iana.mediatype#application	
application/cwl+yaml	cwl+yaml				obo:iana.mediatype#application	
application/cwt	cwt				obo:iana.mediatype#application	
application/cybercash	cybercash				obo:iana.mediatype#application	
application/dash+xml	dash+xml				obo:iana.mediatype#application	
application/dash-patch+xml	dash-patch+xml				obo:iana.mediatype#application	
application/dashdelta	dashdelta				obo:iana.mediatype#application	
application/davmount+xml	davmount+xml				obo:iana.mediatype#application	
application/dca-rft	dca-rft				obo:iana.mediatype#application	
application/dec-dx	dec-dx				obo:iana.mediatype#application	
application/dialog-info+xml	dialog-info+xml				obo:iana.mediatype#application	
