identifier	name	definition	synonyms	alts	parents	species
chor	Chorismate			bigg.metabolite:chor_h		
chor	Chorismate			bigg.metabolite:chor_c		
chor	Chorismate			bigg.metabolite:chor_p		
chsterol	Chsterol c			bigg.metabolite:chsterol_e		
chsterol	Chsterol c			bigg.metabolite:chsterol_g		
chsterol	Chsterol c			bigg.metabolite:chsterol_c		
chsterol	Chsterol c			bigg.metabolite:chsterol_r		
chsterol	Chsterol c			bigg.metabolite:chsterol_l		
chsterol	Chsterol c			bigg.metabolite:chsterol_m		
chsterols	Cholesterol sulfate			bigg.metabolite:chsterols_c		
chsterols	Cholesterol sulfate			bigg.metabolite:chsterols_r		
chsterols	Cholesterol sulfate			bigg.metabolite:chsterols_e		
chtbs	N,N'-diacetylchitobiose			bigg.metabolite:chtbs_e		
chtbs	N,N'-diacetylchitobiose			bigg.metabolite:chtbs_p		
chtbs	N,N'-diacetylchitobiose			bigg.metabolite:chtbs_c		
chtbs6p	Diacetylchitobiose-6-phosphate			bigg.metabolite:chtbs6p_c		
chtn	Chtn c			bigg.metabolite:chtn_e		
chtn	Chtn c			bigg.metabolite:chtn_c		
cigam	Cys-1D-myo-inositol 2-deoxy-D-glucopyranoside			bigg.metabolite:cigam_c		
cinmcoa	Cinnamoyl CoA			bigg.metabolite:cinmcoa_c		
cinnm	Trans-Cinnamate			bigg.metabolite:cinnm_c		
cinnm	Trans-Cinnamate			bigg.metabolite:cinnm_p		
cinnm	Trans-Cinnamate			bigg.metabolite:cinnm_e		
cit	Citrate			bigg.metabolite:cit_m		
cit	Citrate			bigg.metabolite:cit_c		
cit	Citrate			bigg.metabolite:cit_p		
cit	Citrate			bigg.metabolite:cit_x		
cit	Citrate			bigg.metabolite:cit_e		
citac	Citraconate			bigg.metabolite:citac_c		
cital	Citalopram			bigg.metabolite:cital_c		
cital	Citalopram			bigg.metabolite:cital_e		
citalald	Citalopram aldehyde			bigg.metabolite:citalald_c		
citalo	Citalopram N-oxide			bigg.metabolite:citalo_c		
citalppa	Citalopram propionic acid			bigg.metabolite:citalppa_c		
citdae	Citrl-diaminoethane			bigg.metabolite:citdae_c		
citdapp	Citryl-L2,3-diamino-propionic acid			bigg.metabolite:citdapp_c		
citm	Citramalate			bigg.metabolite:citm_c		
citmcoa__L	L-Citramalyl-CoA			bigg.metabolite:citmcoa_DASH_L_m|bigg.metabolite:citmcoa__L_m		
citr__L	L-Citrulline			bigg.metabolite:citr_DASH_L_m|bigg.metabolite:citr_L_m|bigg.metabolite:citr__L_m		
citr__L	L-Citrulline			bigg.metabolite:citr_DASH_L_h|bigg.metabolite:citr__L_h		
citr__L	L-Citrulline			bigg.metabolite:citr_DASH_L_c|bigg.metabolite:citr_L_c|bigg.metabolite:citr__L_c		
citr__L	L-Citrulline			bigg.metabolite:citr_L_e|bigg.metabolite:citr__L_e		
ckdo	CMP-3-deoxy-D-manno-octulosonate			bigg.metabolite:ckdo_c|bigg.metabolite:cmpkdo|bigg.metabolite:cmpkdo_c		
cl	Chloride			bigg.metabolite:cl_e		
cl	Chloride			bigg.metabolite:cl_n		
cl	Chloride			bigg.metabolite:cl_c		
cl	Chloride			bigg.metabolite:cl_p		
cl	Chloride			bigg.metabolite:cl_x		
cl	Chloride			bigg.metabolite:cl_l		
cl	Chloride			bigg.metabolite:cl_h		
cl	Chloride			bigg.metabolite:cl_m		
clpn120	Cardiolipin (tetradodecanoyl, n-C12:0)			bigg.metabolite:clpn120_p		
clpn120	Cardiolipin (tetradodecanoyl, n-C12:0)			bigg.metabolite:clpn120_c		
clpn140	Cardiolipin (tetratetradecanoyl, n-C14:0)			bigg.metabolite:clpn140_p		
clpn140	Cardiolipin (tetratetradecanoyl, n-C14:0)			bigg.metabolite:clpn140_c		
clpn141	Cardiolipin (tetratetradec-7-enoyl, n-C14:1)			bigg.metabolite:clpn141_p		
clpn160	Cardiolipin (tetrahexadecanoyl, n-C16:0)			bigg.metabolite:clpn160_m		
clpn160	Cardiolipin (tetrahexadecanoyl, n-C16:0)			bigg.metabolite:clpn160_p		
clpn160	Cardiolipin (tetrahexadecanoyl, n-C16:0)			bigg.metabolite:clpn160_c		
clpn160190	Cardiolipin (dihexadecanoyl, dimethylstearoyl)			bigg.metabolite:clpn160190_c		
clpn161	Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)			bigg.metabolite:clpn161_p		
clpn161	Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)			bigg.metabolite:clpn161_c		
clpn161e9	Cardiolipin  tetrahexadec  9E  enoyl  n C161  trans			bigg.metabolite:clpn161e9_p		
clpn180	Cardiolipin (tetraoctadecanoyl, n-C18:0)			bigg.metabolite:clpn180_p		
clpn180	Cardiolipin (tetraoctadecanoyl, n-C18:0)			bigg.metabolite:clpn180_c		
clpn181	Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)			bigg.metabolite:clpn181_p		
clpn181	Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)			bigg.metabolite:clpn181_c		
clpn181e11	Cardiolipin  tetraoctadec  11E  enoyl  n C181 trans			bigg.metabolite:clpn181e11_p		
clpn182	Cardiolipin (18:2/18:2/18:2/18:2)			bigg.metabolite:clpn182_m		
clpn2_ST	Membrane cardiolipin mixture			bigg.metabolite:clpn2_ST_p		
clpn_EC	Cardiolipin (Ecoli)			bigg.metabolite:clpn_EC_c		
clpn_HP	Cardiolipin (Hpylori)			bigg.metabolite:clpn_HP_c		
clpn_LLA	Cardiolipin  lactis specific			bigg.metabolite:clpn_LLA_c		
clpn_LM	Cardiolipin  L major  C7980H14248O1700P200			bigg.metabolite:clpn_LM_m		
clpn_MRSA	Cardiolipin (MRSA); bisphosphatidylglycerol			bigg.metabolite:clpn_MRSA_c		
clpn_SA	Cardiolipin (Saureus)			bigg.metabolite:clpn_SA_c		
clpn_SC	Cardiolipin  yeast specific C7380H13688O1700P200			bigg.metabolite:clpn_SC_m		
clpn_cho	Cardiolipin			bigg.metabolite:clpn_cho_c		
clpn_hs	Cardiolipin (homo sapiens)			bigg.metabolite:clpn_hs_c		
clpn_hs	Cardiolipin (homo sapiens)			bigg.metabolite:clpn_hs_m		
clpn_pf_16_0_18_1_16_0_18_1	Cardiolipin(plasmodium)			bigg.metabolite:clpn_pf_16_0_18_1_16_0_18_1_m		
clpnd	Clupanodonic acid			bigg.metabolite:clpnd_c		
clpnd	Clupanodonic acid			bigg.metabolite:clpnd_r		
clpnd	Clupanodonic acid			bigg.metabolite:clpnd_e		
clpndcoa	Clupanodonyl CoA			bigg.metabolite:clpndcoa_c		
clpndcoa	Clupanodonyl CoA			bigg.metabolite:clpndcoa_x		
clpndcoa	Clupanodonyl CoA			bigg.metabolite:clpndcoa_r		
clpndcoa	Clupanodonyl CoA			bigg.metabolite:clpndcoa_m		
clpndcrn	Clupanodonyl carnitine			bigg.metabolite:clpndcrn_m		
clpndcrn	Clupanodonyl carnitine			bigg.metabolite:clpndcrn_c		
cm	Chloramphenicol			bigg.metabolite:cm_e		
cm	Chloramphenicol			bigg.metabolite:cm_p		
cm	Chloramphenicol			bigg.metabolite:cm_c		
cm3ac	Chloramphenicol 3-acetate			bigg.metabolite:cm3ac_c		
cmaphis	2 3 Carboxy 3  methylammonio propyl L histidine C11H18N4O4			bigg.metabolite:cmaphis_c		
cmcbtt	Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)			bigg.metabolite:cmcbtt_e		
cmcbtt	Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)			bigg.metabolite:cmcbtt_c		
cmcbtt	Carboxymycobactin T (R=8 carbon, final carbon is carboxyl group)			bigg.metabolite:cmcbtt_p		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_e		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_g		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_n		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_c		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_p		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_r		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_m		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_l		
cmp	CMP C9H12N3O8P			bigg.metabolite:cmp_h		
cmp2amep	CMP-2-aminoethylphosphonate			bigg.metabolite:cmp2amep_c		
cmpacna	CMP-N-acetylneuraminate			bigg.metabolite:cmp_DASH_nate_c|bigg.metabolite:cmp_nate|bigg.metabolite:cmpacna_c		
cmpacna	CMP-N-acetylneuraminate			bigg.metabolite:cmpacna_g		
cmpacna	CMP-N-acetylneuraminate			bigg.metabolite:cmpacna_n		
cmpacna	CMP-N-acetylneuraminate			bigg.metabolite:cmpacna_e		
cmpacneun	CMP-N-Acetylneuraminate			bigg.metabolite:cmpacneun_c		
cmpglna	CMP-N-glycoloylneuraminate			bigg.metabolite:cmpglna_c		
cmpntm2amep	CMP-N-trimethyl-2-aminoethylphosphonate			bigg.metabolite:cmpntm2amep_c		
cmusa	2 Amino 3 carboxymuconate semialdehyde C7H6NO5			bigg.metabolite:cmusa_c		
cmylphosph	Carbamoyl phosphate			bigg.metabolite:cmylphosph_c		
cn	Cyanide ion			bigg.metabolite:cn_c		
co	Carbon monoxide			bigg.metabolite:co_h		
co	Carbon monoxide			bigg.metabolite:co_c		
co	Carbon monoxide			bigg.metabolite:co_p		
co	Carbon monoxide			bigg.metabolite:co_e		
co1dam	Cob(I)yrinate a,c diamide			bigg.metabolite:co1dam_e		
co1dam	Cob(I)yrinate a,c diamide			bigg.metabolite:co1dam_c		
co2	CO2 CO2			bigg.metabolite:co2_m		
co2	CO2 CO2			bigg.metabolite:co2_v		
co2	CO2 CO2			bigg.metabolite:co2_h		
co2	CO2 CO2			bigg.metabolite:co2_l		
co2	CO2 CO2			bigg.metabolite:co2_c		
co2	CO2 CO2			bigg.metabolite:co2_p		
co2	CO2 CO2			bigg.metabolite:co2_x		
co2	CO2 CO2			bigg.metabolite:co2_r		
co2	CO2 CO2			bigg.metabolite:co2_g		
co2	CO2 CO2			bigg.metabolite:co2_n		
co2	CO2 CO2			bigg.metabolite:co2_cx		
co2	CO2 CO2			bigg.metabolite:co2_e		
co2dam	Cob(II)yrinate a,c diamide			bigg.metabolite:co2dam_c		
coa	Coenzyme A			bigg.metabolite:coa_e		
coa	Coenzyme A			bigg.metabolite:coa_s		
coa	Coenzyme A			bigg.metabolite:coa_n		
coa	Coenzyme A			bigg.metabolite:coa_g		
coa	Coenzyme A			bigg.metabolite:coa_c		
coa	Coenzyme A			bigg.metabolite:coa_r		
coa	Coenzyme A			bigg.metabolite:coa_x		
coa	Coenzyme A			bigg.metabolite:coa_m		
coa	Coenzyme A			bigg.metabolite:coa_l		
coa	Coenzyme A			bigg.metabolite:coa_h		
coa	Coenzyme A			bigg.metabolite:coa_w		
coa2s	Coenzyme A disulfide			bigg.metabolite:coa2s_c		
cob	Coenzyme b			bigg.metabolite:cob_c		
cob1nda	Cob-I-yrinate-a-c-diamide			bigg.metabolite:cob1nda_c		
cob2nda	Cob-II-yrinate-a-c-diamide			bigg.metabolite:cob2nda_c		
cobalt2	Co2+			bigg.metabolite:cobalt2_e		
cobalt2	Co2+			bigg.metabolite:cobalt2_c		
cobalt2	Co2+			bigg.metabolite:cobalt2_p		
cobya	Cobyrinate			bigg.metabolite:cobn|bigg.metabolite:cobn_c|bigg.metabolite:cobya_c		
codhpre6	Cobalt-dihydro-precorrin 6			bigg.metabolite:codhpre6_c|bigg.metabolite:codscl6b|bigg.metabolite:codscl6b_c		
codscl5a	Cobalt-precorrin-5a			bigg.metabolite:codscl5a_c		
codscl5b	Cobalt-precorrin-5b			bigg.metabolite:codscl5b_c		
codscl7	Cobalt-precorrin-7			bigg.metabolite:codscl7_c		
codscl8x	Cobalt-precorrin-8x			bigg.metabolite:codscl8x_c		
coke	Cocaine			bigg.metabolite:coke_e		
coke	Cocaine			bigg.metabolite:coke_r		
coke	Cocaine			bigg.metabolite:coke_c		
colipa	Core oligosaccharide lipid A			bigg.metabolite:colipa_e		
colipa	Core oligosaccharide lipid A			bigg.metabolite:colipaA|bigg.metabolite:colipaA_c|bigg.metabolite:colipa_c		
colipa	Core oligosaccharide lipid A			bigg.metabolite:colipaA|bigg.metabolite:colipaA_p|bigg.metabolite:colipa_p		
colipa20Oag	O-antigen-x20-core-oligosaccharide-lipid-A			bigg.metabolite:colipa20Oag_e		
colipa20Oag	O-antigen-x20-core-oligosaccharide-lipid-A			bigg.metabolite:colipa20Oag_p		
colipaB	Core oligosaccharide lipid A with laurate C159H256N2O88P4			bigg.metabolite:colipaB_c		
colipaB	Core oligosaccharide lipid A with laurate C159H256N2O88P4			bigg.metabolite:colipaB_p		
colipaF	Core oligosaccharide lipid A with 1' diphosphate  C161H260N2O91P5			bigg.metabolite:colipaF_p		
colipaOA	Membrane LPS mixture			bigg.metabolite:colipaOA_e		
colipaOAmin	Membrane LPS mixture min			bigg.metabolite:colipaOAmin_e		
colipa_LptA	Core oligosaccharide lipid A with abundances			bigg.metabolite:colipa_LptA_p		
colipacy	O-antigen bound to core oligosaccharide lipid A (Synechococcus elongatus 7942)			bigg.metabolite:colipacy_e		
