text	curie	name	predicate	source
HK1	eccode:2.7.13.3	histidine kinase	oboInOwl:hasRelatedSynonym	eccode
protein histidine kinase	eccode:2.7.13.3	histidine kinase	oboInOwl:hasRelatedSynonym	eccode
protein kinase	eccode:2.7.13.3	histidine kinase	oboInOwl:hasRelatedSynonym	eccode
protein kinase (histidine)	eccode:2.7.13.3	histidine kinase	oboInOwl:hasRelatedSynonym	eccode
histidine kinase	eccode:2.7.13.3	histidine kinase	rdfs:label	eccode
Protein-arginine kinases	eccode:2.7.14	Protein-arginine kinases	rdfs:label	eccode
protein arginine kinase	eccode:2.7.14.1	protein arginine kinase	rdfs:label	eccode
Phosphotransferases with a carboxy group as acceptor	eccode:2.7.2	Phosphotransferases with a carboxy group as acceptor	rdfs:label	eccode
acetate kinase (phosphorylating)	eccode:2.7.2.1	acetate kinase	oboInOwl:hasRelatedSynonym	eccode
acetic kinase	eccode:2.7.2.1	acetate kinase	oboInOwl:hasRelatedSynonym	eccode
acetokinase	eccode:2.7.2.1	acetate kinase	oboInOwl:hasRelatedSynonym	eccode
AK	eccode:2.7.2.1	acetate kinase	oboInOwl:hasRelatedSynonym	eccode
acetate kinase	eccode:2.7.2.1	acetate kinase	rdfs:label	eccode
phosphoglycerate kinase (GTP)	eccode:2.7.2.10	phosphoglycerate kinase (GTP)	rdfs:label	eccode
gamma-glutamyl kinase	eccode:2.7.2.11	glutamate 5-kinase	oboInOwl:hasRelatedSynonym	eccode
glutamate 5-kinase	eccode:2.7.2.11	glutamate 5-kinase	rdfs:label	eccode
Acetate kinase (pyrophosphate)	eccode:2.7.2.12	acetate kinase (diphosphate)	oboInOwl:hasRelatedSynonym	eccode
acetate kinase (diphosphate)	eccode:2.7.2.12	acetate kinase (diphosphate)	rdfs:label	eccode
isobutyrate kinase	eccode:2.7.2.14	branched-chain-fatty-acid kinase	oboInOwl:hasRelatedSynonym	eccode
branched-chain-fatty-acid kinase	eccode:2.7.2.14	branched-chain-fatty-acid kinase	rdfs:label	eccode
propionate/acetate kinase	eccode:2.7.2.15	propionate kinase	oboInOwl:hasRelatedSynonym	eccode
propionate kinase	eccode:2.7.2.15	propionate kinase	rdfs:label	eccode
2-phosphoglycerate kinase	eccode:2.7.2.16	2-phosphoglycerate kinase	rdfs:label	eccode
[amino-group carrier protein]-L-2-aminoadipate 6-kinase	eccode:2.7.2.17	[amino-group carrier protein]-L-2-aminoadipate 6-kinase	rdfs:label	eccode
fatty acid kinase	eccode:2.7.2.18	fatty acid kinase	rdfs:label	eccode
[amino-group carrier protein]-L-glutamate 6-kinase	eccode:2.7.2.19	[amino-group carrier protein]-L-glutamate 6-kinase	rdfs:label	eccode
carbamate kinase	eccode:2.7.2.2	carbamate kinase	rdfs:label	eccode
phosphoglycerate kinase	eccode:2.7.2.3	phosphoglycerate kinase	rdfs:label	eccode
aspartokinase	eccode:2.7.2.4	aspartate kinase	oboInOwl:hasRelatedSynonym	eccode
aspartate kinase	eccode:2.7.2.4	aspartate kinase	rdfs:label	eccode
formate kinase	eccode:2.7.2.6	formate kinase	rdfs:label	eccode
butyrate kinase	eccode:2.7.2.7	butyrate kinase	rdfs:label	eccode
acetylglutamate kinase	eccode:2.7.2.8	acetylglutamate kinase	rdfs:label	eccode
Phosphotransferases with a nitrogenous group as acceptor	eccode:2.7.3	Phosphotransferases with a nitrogenous group as acceptor	rdfs:label	eccode
glycocyamine kinase	eccode:2.7.3.1	guanidinoacetate kinase	oboInOwl:hasRelatedSynonym	eccode
guanidinoacetate kinase	eccode:2.7.3.1	guanidinoacetate kinase	rdfs:label	eccode
phosphagen phosphokinase	eccode:2.7.3.10	agmatine kinase	oboInOwl:hasRelatedSynonym	eccode
agmatine kinase	eccode:2.7.3.10	agmatine kinase	rdfs:label	eccode
