text	curie	name	predicate	source
GDP-D-mannose dehydratase	ec:4.2.1.47	GDP-mannose 4,6-dehydratase	oboInOwl:hasRelatedSynonym	ec
guanosine 5'-diphosphate-D-mannose oxidoreductase	ec:4.2.1.47	GDP-mannose 4,6-dehydratase	oboInOwl:hasRelatedSynonym	ec
guanosine diphosphomannose 4,6-dehydratase	ec:4.2.1.47	GDP-mannose 4,6-dehydratase	oboInOwl:hasRelatedSynonym	ec
guanosine diphosphomannose oxidoreductase	ec:4.2.1.47	GDP-mannose 4,6-dehydratase	oboInOwl:hasRelatedSynonym	ec
GDP-mannose 4,6-dehydratase	ec:4.2.1.47	GDP-mannose 4,6-dehydratase	rdfs:label	ec
D-glutamate cyclase	ec:4.2.1.48	D-glutamate cyclase	rdfs:label	ec
imidazolonepropionate hydrolase	ec:4.2.1.49	urocanate hydratase	oboInOwl:hasRelatedSynonym	ec
urocanase	ec:4.2.1.49	urocanate hydratase	oboInOwl:hasRelatedSynonym	ec
urocanate hydratase	ec:4.2.1.49	urocanate hydratase	rdfs:label	ec
D-arabinonate hydro-lyase	ec:4.2.1.5	arabinonate dehydratase	oboInOwl:hasRelatedSynonym	ec
arabinonate dehydratase	ec:4.2.1.5	arabinonate dehydratase	rdfs:label	ec
pyrazolylalanine synthase	ec:4.2.1.50	pyrazolylalanine synthase	rdfs:label	ec
prephenate dehydratase	ec:4.2.1.51	prephenate dehydratase	rdfs:label	ec
oleate hydratase	ec:4.2.1.53	oleate hydratase	rdfs:label	ec
lactoyl-CoA dehydratase	ec:4.2.1.54	lactoyl-CoA dehydratase	rdfs:label	ec
crotonase	ec:4.2.1.55	3-hydroxybutyryl-CoA dehydratase	oboInOwl:hasRelatedSynonym	ec
3-hydroxybutyryl-CoA dehydratase	ec:4.2.1.55	3-hydroxybutyryl-CoA dehydratase	rdfs:label	ec
itaconyl-CoA hydratase	ec:4.2.1.56	itaconyl-CoA hydratase	rdfs:label	ec
isohexenylglutaconyl-CoA hydratase	ec:4.2.1.57	isohexenylglutaconyl-CoA hydratase	rdfs:label	ec
(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
beta-hydroxyoctanoyl-ACP-dehydrase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
beta-hydroxyoctanoyl-acyl carrier protein dehydrase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
beta-hydroxyoctanoyl thioester dehydratase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase	ec:4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	oboInOwl:hasRelatedSynonym	ec
