subject_id	object_id	predicate_id	mapping_justification
icd11:1004960591	icd11.code:XM4AF1	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005014126	icd11.code:XE9D0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005023802	icd11.code:XE7RL	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005140361	icd11.code:1C32	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100525689	icd11.code:XM5ZS9	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005307277	icd11.code:XA4A37	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005330233	icd11.code:XM69M3	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005409797	icd11.code:XM35M7	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005460401	icd11.code:XN5ER	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005504375	icd11.code:XA1BT5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005583817	icd11.code:MB26.10	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005672857	icd11.code:XM5XB7	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100572295	icd11.code:XM00V5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100572829	icd11.code:XM02E9	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005741964	icd11.code:XA1WL4	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005770900	icd11.code:1D01.00	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005846640	icd11.code:6C47.6	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1005993034	icd11.code:XM3M14	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006147739	icd11.code:XH7019	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006194238	icd11.code:XA10T8	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006272219	icd11.code:XM7S59	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006330530	icd11.code:XM2TP0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006373292	icd11.code:BE1E.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006523605	icd11.code:XA9HJ5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006554672	icd11.code:XA26X2	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006596431	icd11.code:AB10.3	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100663921	icd11.code:GA31.01	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006642359	icd11.code:XM9ST9	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006697501	icd11.code:BB03.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006735881	icd11.code:XE8SV	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006882070	icd11.code:9B71.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1006904405	icd11.code:XM2FJ5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1007173668	icd11.code:8A60.5	skos:exactMatch	semapv:UnspecifiedMatching
icd11:1007212671	icd11.code:JB44.0	skos:exactMatch	semapv:UnspecifiedMatching
icd11:100727368	icd11.code:XH3EY8	skos:exactMatch	semapv:UnspecifiedMatching
